Broad_Nationality_encoded,Stay_Category_encoded,Spend_Category_encoded,accom_type,London_or_out,Flow,Age,DayOfWeek,TripStartDay,Broad_Purpose_encoded,Business or Work,Education and Other,Holiday,VFF
North America,4-13 days,500-1000 GBP,1,1,1.0,5,4,1,Holiday,0.3983333333333333,0.0,0.5733333333333333,0.028333333333333332
EU,4-13 days,500-1000 GBP,1,1,1.0,4,3,2,Business or Work,0.16607142857142856,0.0375,0.45,0.3464285714285714
Asia,,250-500 GBP,1,0,1.0,4,2,2,Business or Work,0.2,0.0,0.75,0.05
EU,1-3 days,250-500 GBP,0,0,5.0,7,1,6,Holiday,0.0,0.0,0.85,0.15
EU,4-13 days,0-250 GBP,0,0,1.0,6,1,2,VFF,0.0,0.0,0.05,0.95
EU,1-3 days,0-250 GBP,1,0,1.0,5,1,7,Holiday,0.11774673855556209,0.0,0.8134492438246308,0.0688040176198071
UK,14-27 days,0-250 GBP,0,0,1.0,8,7,1,Holiday,0.0,0.0,0.0,1.0
Asia,1-3 months,1000-5000 GBP,0,0,1.0,5,7,2,Business or Work,0.05,0.05,0.65,0.25
North America,1-3 days,1000-5000 GBP,1,0,1.0,5,1,6,Business or Work,0.1,0.0,0.75,0.15
UK,4-13 days,500-1000 GBP,1,0,1.0,8,5,6,VFF,0.05,0.0,0.55,0.4
Asia,1-3 days,250-500 GBP,1,1,1.0,4,3,1,Holiday,0.0,0.0,1.0,0.0
Asia,4-13 days,1000-5000 GBP,1,0,1.0,6,1,5,Holiday,0.9066666666666666,0.0,0.09333333333333332,0.0
UK,4-13 days,1000-5000 GBP,0,0,1.0,6,7,1,VFF,0.9,0.0,0.0,0.1
UK,4-13 days,0-250 GBP,0,0,1.0,7,6,5,VFF,0.0,0.0,0.05,0.95
EU,4-13 days,500-1000 GBP,1,0,5.0,8,6,6,Holiday,0.0,0.0,1.0,0.0
UK,4-13 days,0-250 GBP,0,1,1.0,4,7,5,VFF,0.05,0.15,0.2333333333333333,0.5666666666666667
Asia,4-13 days,1000-5000 GBP,1,1,1.0,5,3,7,Holiday,0.2648124098124098,0.0,0.7351875901875903,0.0
Asia,14-27 days,1000-5000 GBP,0,0,1.0,4,3,6,VFF,0.15,0.1,0.016666666666666666,0.7333333333333334
Non-EU Europe,1-3 days,500-1000 GBP,1,0,1.0,7,3,1,Holiday,0.3,0.0,0.7,0.0
EU,4-13 days,250-500 GBP,1,1,1.0,6,4,1,Holiday,0.03,0.0,0.9199999999999999,0.05
EU,4-13 days,0-250 GBP,0,1,5.0,4,3,7,VFF,0.15,0.1,0.0125,0.7375
EU,4-13 days,0-250 GBP,1,1,5.0,6,3,7,VFF,0.0,0.0,1.0,0.0
UK,4-13 days,0-250 GBP,0,0,1.0,6,3,5,VFF,0.0,0.0,0.025,0.975
EU,1-3 days,500-1000 GBP,1,1,1.0,6,1,7,Holiday,0.0,0.0,0.7425,0.25749999999999995
EU,4-13 days,250-500 GBP,0,0,5.0,2,4,1,VFF,0.0,0.0,0.7666666666666667,0.2333333333333333
EU,1-3 days,0-250 GBP,1,0,1.0,6,1,7,VFF,0.21055596364419898,0.1071737494531612,0.4871957372692667,0.19507454963337317
UK,4-13 days,500-1000 GBP,0,0,1.0,5,1,2,VFF,0.0,0.0,0.0,1.0
"Australia, NZ and Oceania",1-3 days,250-500 GBP,0,0,1.0,6,5,3,VFF,0.1,0.0,0.6,0.3
North America,,0-250 GBP,1,0,1.0,4,4,4,Holiday,0.07211538461538461,0.175,0.4362179487179487,0.31666666666666665
EU,1-3 days,0-250 GBP,1,0,1.0,2,1,7,Holiday,0.0,0.0,0.7126731601731601,0.2873268398268399
Asia,1-3 days,1000-5000 GBP,1,0,1.0,6,6,4,VFF,0.775,0.0,0.225,0.0
EU,1-3 days,250-500 GBP,1,1,5.0,7,7,5,Business or Work,0.0,0.0,0.95,0.05
North America,4-13 days,1000-5000 GBP,1,1,1.0,5,7,7,Holiday,0.2833333333333333,0.2,0.5166666666666667,0.0
UK,4-13 days,250-500 GBP,0,0,1.0,4,7,1,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,250-500 GBP,0,0,1.0,2,7,2,VFF,0.4367857142857143,0.29928571428571427,0.0,0.2639285714285714
UK,1-3 days,500-1000 GBP,1,0,1.0,4,2,1,Holiday,0.2,0.05,0.5,0.25
EU,4-13 days,500-1000 GBP,1,0,5.0,6,7,7,Holiday,0.0,0.0,0.95,0.05
North America,4-13 days,250-500 GBP,0,0,1.0,5,7,3,VFF,0.0,0.0,0.14583333333333331,0.8541666666666666
Africa,1-3 months,250-500 GBP,0,0,1.0,6,4,6,Holiday,0.05,0.05,0.35,0.55
EU,1-3 days,250-500 GBP,1,1,1.0,4,3,2,Business or Work,0.8940873015873017,0.0,0.0,0.10591269841269842
EU,4-13 days,250-500 GBP,0,0,1.0,4,2,6,VFF,0.0,0.0,0.23562770562770557,0.7643722943722941
Asia,4-13 days,1000-5000 GBP,1,0,1.0,5,7,4,Business or Work,0.925,0.0,0.075,0.0
EU,4-13 days,0-250 GBP,0,1,1.0,4,1,1,VFF,0.0,0.0,0.2571428571428572,0.7428571428571429
EU,1-3 days,500-1000 GBP,1,1,1.0,5,4,3,Business or Work,0.8515109890109891,0.0,0.14848901098901096,0.0
EU,,250-500 GBP,1,0,1.0,4,1,1,Holiday,0.0,0.0,1.0,0.0
EU,1-3 days,0-250 GBP,1,1,1.0,5,5,4,Business or Work,1.0,0.0,0.0,0.0
North America,1-3 days,1000-5000 GBP,0,0,1.0,6,4,2,Business or Work,0.45,0.0,0.05,0.5
South America,14-27 days,250-500 GBP,0,0,1.0,4,6,1,Holiday,0.0,0.05,0.12142857142857141,0.8285714285714285
EU,4-13 days,0-250 GBP,0,0,1.0,8,5,6,VFF,0.0,0.0,0.0,1.0
EU,,250-500 GBP,1,0,1.0,4,1,1,Holiday,0.0,0.0,1.0,0.0
EU,4-13 days,250-500 GBP,0,0,1.0,8,3,4,VFF,0.0,0.0,0.075,0.925
"Australia, NZ and Oceania",4-13 days,1000-5000 GBP,1,0,1.0,6,2,1,VFF,0.13333333333333333,0.08333333333333333,0.7166666666666667,0.06666666666666667
EU,1-3 days,0-250 GBP,1,0,1.0,6,5,4,Business or Work,0.6757638888888888,0.11523719336219336,0.2089989177489177,0.0
EU,1-3 days,0-250 GBP,1,0,1.0,6,5,4,Business or Work,0.6757638888888888,0.11523719336219336,0.2089989177489177,0.0
EU,,0-250 GBP,0,0,5.0,5,7,7,Business or Work,1.0,0.0,0.0,0.0
EU,1-3 days,250-500 GBP,2,1,1.0,2,1,6,Holiday,0.0,0.0,0.7516666666666667,0.24833333333333335
Asia,4-13 days,1000-5000 GBP,0,0,1.0,7,3,7,VFF,0.0,0.15,0.25,0.6
EU,1-3 days,0-250 GBP,1,0,1.0,5,1,7,Holiday,0.11774673855556209,0.0,0.8134492438246308,0.0688040176198071
EU,1-3 days,0-250 GBP,1,1,1.0,4,5,4,Business or Work,0.8344444444444445,0.0,0.16555555555555557,0.0
EU,4-13 days,1000-5000 GBP,0,0,1.0,5,7,4,VFF,0.0,0.0,0.1,0.9
North America,4-13 days,500-1000 GBP,1,0,1.0,8,4,7,Holiday,0.0375,0.0,0.75,0.2125
EU,,250-500 GBP,1,0,1.0,6,6,6,Business or Work,0.801607142857143,0.0,0.19839285714285718,0.0
EU,4-13 days,0-250 GBP,0,0,1.0,8,4,1,VFF,0.0,0.0,0.0,1.0
Non-EU Europe,4-13 days,0-250 GBP,0,0,1.0,5,1,3,VFF,0.05,0.025,0.0,0.925
EU,1-3 days,,1,0,5.0,6,4,3,Business or Work,0.55,0.0,0.4,0.05
EU,1-3 days,250-500 GBP,1,0,1.0,6,1,7,VFF,0.024347530942902613,0.0,0.7011033002871467,0.27454916876995084
EU,4-13 days,500-1000 GBP,1,0,1.0,6,3,3,Holiday,0.1,0.0,0.75,0.15
North America,1-3 days,more than 5000 GBP,1,0,1.0,5,6,4,Business or Work,0.9928571428571429,0.0,0.007142857142857143,0.0
"Australia, NZ and Oceania",4-13 days,500-1000 GBP,0,0,1.0,6,3,6,VFF,0.0,0.0,0.3,0.7
EU,1-3 days,500-1000 GBP,1,1,1.0,5,6,4,Business or Work,0.48184523809523816,0.0,0.518154761904762,0.0
Asia,4-13 days,1000-5000 GBP,2,1,1.0,2,4,5,Holiday,0.0,0.0,1.0,0.0
Asia,4-13 days,250-500 GBP,2,1,1.0,6,4,6,Holiday,0.0,0.0,0.9,0.1
EU,4-13 days,500-1000 GBP,2,0,5.0,7,2,7,Holiday,0.0,0.0,0.8,0.2
North America,1-3 days,500-1000 GBP,1,1,1.0,8,2,7,Holiday,0.025,0.0,0.925,0.05
EU,1-3 days,1000-5000 GBP,1,1,1.0,7,2,7,Holiday,0.24130952380952383,0.0,0.38261904761904764,0.37607142857142856
Asia,14-27 days,1000-5000 GBP,2,1,1.0,6,3,3,Holiday,0.0,0.05,0.85,0.1
EU,,250-500 GBP,0,0,1.0,6,5,5,Holiday,0.85,0.0,0.15,0.0
EU,,,0,0,5.0,6,5,5,Business or Work,0.9949999999999999,0.0,0.005,0.0
North America,4-13 days,250-500 GBP,1,0,5.0,8,4,1,Holiday,0.0,0.0,0.85,0.15
UK,1-3 days,0-250 GBP,0,0,1.0,4,1,6,VFF,0.05,0.0,0.15123015873015871,0.7987698412698413
North America,1-3 days,500-1000 GBP,1,0,5.0,2,6,4,Holiday,0.1,0.0,0.9,0.0
North America,1-3 days,1000-5000 GBP,1,1,1.0,8,3,2,Business or Work,0.1,0.0,0.9,0.0
North America,4-13 days,500-1000 GBP,1,0,1.0,6,2,6,VFF,0.5041666666666667,0.0,0.0,0.4958333333333334
EU,4-13 days,250-500 GBP,2,1,1.0,2,2,5,Holiday,0.1,0.0,0.85,0.05
North America,14-27 days,500-1000 GBP,2,0,5.0,8,1,2,Holiday,0.05,0.0,0.6,0.35
North America,1-3 days,500-1000 GBP,1,1,1.0,7,6,5,Business or Work,0.2,0.0,0.8,0.0
EU,4-13 days,250-500 GBP,0,0,5.0,6,4,5,Holiday,0.15,0.0,0.25,0.6
UK,14-27 days,250-500 GBP,0,0,1.0,5,7,1,VFF,0.0,0.0,0.0,1.0
EU,1-3 days,0-250 GBP,0,0,5.0,7,6,4,Holiday,0.95,0.0,0.0,0.05
UK,1-3 days,250-500 GBP,1,0,1.0,5,4,2,VFF,0.675,0.0,0.25,0.075
EU,,0-250 GBP,0,0,5.0,7,6,6,Business or Work,1.0,0.0,0.0,0.0
EU,,0-250 GBP,0,0,5.0,7,6,6,Business or Work,1.0,0.0,0.0,0.0
UK,4-13 days,1000-5000 GBP,0,0,1.0,5,1,4,VFF,0.0,0.0,0.1,0.9
EU,4-13 days,500-1000 GBP,1,0,1.0,4,6,3,Business or Work,0.9944444444444445,0.0,0.005555555555555555,0.0
Africa,4-13 days,500-1000 GBP,1,0,1.0,6,6,2,Business or Work,0.2333333333333333,0.0,0.7666666666666666,0.0
"Australia, NZ and Oceania",1-3 days,0-250 GBP,0,0,5.0,4,5,3,Holiday,0.8855844155844157,0.0,0.0,0.11441558441558441
EU,,250-500 GBP,1,0,1.0,6,5,5,Business or Work,1.0,0.0,0.0,0.0
EU,1-3 days,0-250 GBP,0,1,1.0,2,1,6,Education and Other,0.0,0.0,0.5458333333333334,0.4541666666666667
EU,1-3 days,0-250 GBP,1,0,1.0,5,5,4,Business or Work,0.8943667525285172,0.0,0.10563324747148277,0.0
Asia,4-13 days,1000-5000 GBP,0,1,1.0,6,1,1,Education and Other,0.0,0.25,0.5,0.25
South America,4-13 days,500-1000 GBP,0,0,1.0,5,3,4,Holiday,0.0,0.0,0.35,0.65
EU,1-3 days,0-250 GBP,0,0,1.0,2,1,6,VFF,0.0,0.0,0.2781672250271826,0.7218327749728173
EU,1-3 days,500-1000 GBP,1,1,1.0,5,3,2,Business or Work,0.8611309523809524,0.0,0.0,0.1388690476190476
EU,1-3 days,250-500 GBP,1,0,1.0,5,7,6,Holiday,0.3275,0.0,0.3675,0.305
EU,1-3 days,0-250 GBP,1,0,1.0,5,1,7,VFF,0.11774673855556209,0.0,0.8134492438246308,0.0688040176198071
EU,14-27 days,500-1000 GBP,1,0,5.0,4,6,7,Holiday,0.05,0.0,0.95,0.0
Asia,14-27 days,1000-5000 GBP,1,1,1.0,5,4,4,Holiday,0.24166666666666664,0.05,0.55,0.15833333333333333
EU,1-3 days,0-250 GBP,1,1,5.0,4,2,7,Holiday,0.0,0.0,0.6035714285714284,0.3964285714285714
EU,4-13 days,0-250 GBP,1,1,1.0,5,2,5,Holiday,0.3,0.0,0.675,0.025
Non-EU Europe,4-13 days,more than 5000 GBP,1,1,1.0,6,6,4,VFF,0.175,0.0,0.5158333333333334,0.3091666666666667
Not disclosed,4-13 days,500-1000 GBP,1,0,1.0,5,7,2,Education and Other,0.2333333333333333,0.0,0.7666666666666667,0.0
UK,4-13 days,,1,0,5.0,8,4,5,VFF,0.0,0.175,0.0,0.825
South America,1-3 months,0-250 GBP,0,1,1.0,8,2,4,VFF,0.05,0.0,0.05,0.9
EU,4-13 days,250-500 GBP,1,1,1.0,7,3,6,Education and Other,0.0,0.05,0.925,0.025
UK,4-13 days,250-500 GBP,0,0,1.0,8,4,7,VFF,0.03333333333333333,0.0,0.0,0.9666666666666668
EU,1-3 days,0-250 GBP,0,0,5.0,6,4,3,Business or Work,0.8550793650793651,0.0,0.14492063492063492,0.0
North America,4-13 days,1000-5000 GBP,1,0,1.0,7,7,5,Holiday,0.0,0.0,0.95,0.05
Asia,4-13 days,250-500 GBP,1,1,1.0,4,3,5,Holiday,0.0,0.0,0.95,0.05
EU,4-13 days,250-500 GBP,1,1,1.0,5,3,7,Business or Work,0.0,0.0,1.0,0.0
North America,3-6 months,1000-5000 GBP,0,0,1.0,2,4,3,Education and Other,0.15,0.45,0.15,0.25
EU,,0-250 GBP,1,0,5.0,8,3,3,Holiday,0.1,0.0,0.9,0.0
EU,4-13 days,1000-5000 GBP,1,1,1.0,7,6,3,Business or Work,0.7,0.1,0.15,0.05
Asia,4-13 days,more than 5000 GBP,0,0,1.0,7,4,2,VFF,0.0,0.05,0.05,0.9
EU,1-3 days,250-500 GBP,1,0,1.0,6,5,4,Business or Work,0.9358932733932732,0.0,0.0,0.0641067266067266
Asia,1-3 days,0-250 GBP,0,0,5.0,7,7,6,Business or Work,0.9333333333333332,0.0,0.0,0.06666666666666667
North America,4-13 days,250-500 GBP,1,0,1.0,7,3,7,Holiday,0.0,0.0,0.9125,0.0875
Asia,4-13 days,1000-5000 GBP,1,1,1.0,5,3,3,Holiday,0.0,0.0,1.0,0.0
North America,1-3 days,1000-5000 GBP,1,1,5.0,5,5,4,Holiday,0.275,0.0,0.725,0.0
EU,1-3 days,0-250 GBP,1,1,5.0,4,1,7,Holiday,0.0,0.0,0.9722222222222223,0.02777777777777778
EU,4-13 days,500-1000 GBP,0,0,1.0,4,3,7,VFF,0.0,0.0,0.5277777777777778,0.4722222222222222
EU,4-13 days,0-250 GBP,0,0,1.0,5,1,5,VFF,0.0,0.0,0.2636147186147186,0.7363852813852814
EU,,250-500 GBP,1,0,5.0,4,5,5,Business or Work,0.9166666666666667,0.0,0.08333333333333333,0.0
Asia,14-27 days,1000-5000 GBP,1,0,1.0,7,5,6,VFF,0.3075,0.0,0.2,0.49250000000000005
North America,4-13 days,1000-5000 GBP,1,1,5.0,7,4,1,Holiday,0.1,0.0,0.85,0.05
EU,4-13 days,250-500 GBP,1,0,5.0,8,4,1,VFF,0.0,0.0,0.95,0.05
Asia,4-13 days,0-250 GBP,1,1,1.0,7,4,1,VFF,0.475,0.0,0.525,0.0
Asia,4-13 days,more than 5000 GBP,1,1,1.0,2,5,2,Holiday,0.05,0.15,0.8,0.0
EU,,0-250 GBP,2,0,5.0,8,1,1,Holiday,0.29166666666666663,0.0,0.1875,0.5208333333333333
UK,4-13 days,1000-5000 GBP,1,1,1.0,5,2,3,Business or Work,0.65,0.0,0.0,0.35
North America,4-13 days,500-1000 GBP,0,1,1.0,4,3,7,VFF,0.0,0.0,0.8085714285714285,0.19142857142857142
EU,1-3 days,0-250 GBP,0,1,5.0,7,6,5,Business or Work,0.8333333333333333,0.0,0.016666666666666666,0.15
EU,1-3 days,0-250 GBP,1,0,1.0,4,4,2,Business or Work,0.3327380952380952,0.0,0.6458333333333334,0.02142857142857143
EU,1-3 days,250-500 GBP,0,0,1.0,4,4,3,Business or Work,0.3375,0.0,0.6125,0.05
North America,4-13 days,500-1000 GBP,1,0,1.0,8,3,5,Holiday,0.0,0.0,0.35,0.65
North America,4-13 days,1000-5000 GBP,0,0,1.0,4,3,5,Holiday,0.65,0.0,0.15,0.2
UK,1-3 days,0-250 GBP,0,0,5.0,8,4,3,VFF,0.06666666666666667,0.0,0.05,0.8833333333333334
North America,4-13 days,1000-5000 GBP,1,1,1.0,6,1,2,Holiday,0.1,0.05,0.85,0.0
North America,4-13 days,0-250 GBP,2,1,1.0,2,3,1,Education and Other,0.05,0.05,0.75,0.15
EU,1-3 days,250-500 GBP,1,0,5.0,6,7,6,Holiday,0.10333333333333332,0.0,0.6466666666666667,0.25
EU,,0-250 GBP,0,0,5.0,5,5,5,VFF,0.6031944444444445,0.0,0.17245129870129866,0.22435425685425683
UK,,500-1000 GBP,0,0,1.0,8,7,7,Business or Work,0.2,0.0,0.05,0.75
EU,4-13 days,500-1000 GBP,2,0,1.0,6,1,1,Holiday,0.07547619047619047,0.075,0.7407142857142857,0.1088095238095238
EU,,0-250 GBP,0,0,5.0,4,1,1,VFF,0.4958333333333333,0.0,0.05833333333333333,0.4458333333333334
EU,1-3 days,250-500 GBP,0,1,1.0,6,1,7,Holiday,0.0,0.0,0.16875,0.83125
Africa,1-3 days,500-1000 GBP,1,0,1.0,4,1,6,Holiday,0.05,0.025,0.9,0.025
EU,1-3 days,500-1000 GBP,1,1,1.0,6,1,7,Holiday,0.0,0.0,0.7425,0.25749999999999995
North America,4-13 days,500-1000 GBP,0,0,1.0,5,5,3,VFF,0.5808333333333333,0.0,0.075,0.3441666666666667
EU,1-3 days,250-500 GBP,2,1,1.0,4,5,3,Holiday,0.09428571428571428,0.0,0.9057142857142857,0.0
Africa,4-13 days,500-1000 GBP,0,0,1.0,4,3,1,VFF,0.0,0.0,0.25,0.75
Asia,1-3 days,0-250 GBP,2,0,1.0,4,4,3,Business or Work,0.475,0.0,0.475,0.05
EU,1-3 days,250-500 GBP,0,1,1.0,4,3,1,VFF,0.0,0.0,0.7349999999999999,0.265
EU,14-27 days,,0,0,5.0,8,5,6,VFF,0.2,0.1,0.25,0.45
"Australia, NZ and Oceania",4-13 days,500-1000 GBP,2,0,1.0,2,4,7,Holiday,0.0,0.05,0.65,0.3
UK,14-27 days,500-1000 GBP,0,0,1.0,7,2,3,VFF,0.0,0.05,0.05,0.9
EU,1-3 days,250-500 GBP,1,1,1.0,6,5,4,Business or Work,0.744527417027417,0.0,0.25547258297258296,0.0
Asia,14-27 days,500-1000 GBP,0,1,1.0,7,4,5,VFF,0.0,0.0,0.2,0.8
Asia,1-3 days,,2,1,1.0,4,2,1,Education and Other,0.4,0.15,0.45,0.0
EU,,0-250 GBP,0,0,5.0,8,1,1,VFF,0.125,0.0,0.07083333333333333,0.8041666666666666
Asia,4-13 days,1000-5000 GBP,1,1,1.0,2,2,3,Holiday,0.0,0.0,1.0,0.0
"Australia, NZ and Oceania",4-13 days,250-500 GBP,1,0,5.0,5,1,5,Holiday,0.15,0.0,0.8,0.05
UK,4-13 days,250-500 GBP,1,0,5.0,8,4,1,Holiday,0.0,0.15,0.2,0.65
UK,1-3 days,500-1000 GBP,1,1,1.0,7,1,6,VFF,0.2,0.0,0.55,0.25
Asia,1-3 months,1000-5000 GBP,1,1,1.0,4,2,6,Holiday,0.0,0.0,1.0,0.0
EU,4-13 days,250-500 GBP,1,1,1.0,5,4,1,Holiday,0.31,0.0,0.69,0.0
UK,1-3 days,250-500 GBP,1,0,1.0,4,7,6,VFF,0.1,0.0,0.2791666666666667,0.6208333333333333
South America,1-3 days,250-500 GBP,1,0,1.0,4,1,7,VFF,0.034999999999999996,0.0,0.9650000000000001,0.0
EU,,0-250 GBP,1,0,5.0,2,1,1,Holiday,0.4833333333333333,0.0,0.5166666666666667,0.0
Asia,4-13 days,1000-5000 GBP,0,1,1.0,2,7,6,Education and Other,0.0,0.2,0.55,0.25
North America,,500-1000 GBP,1,1,1.0,5,6,6,Business or Work,0.5125,0.0375,0.45,0.0
EU,1-3 days,0-250 GBP,1,0,1.0,5,6,5,Business or Work,0.8004197191697191,0.0,0.19958028083028084,0.0
North America,1-3 days,0-250 GBP,0,0,1.0,7,2,7,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,0-250 GBP,0,0,1.0,4,1,2,VFF,0.0,0.0,0.0,1.0
Asia,14-27 days,more than 5000 GBP,1,0,1.0,5,3,5,Education and Other,0.4,0.05,0.55,0.0
EU,4-13 days,500-1000 GBP,1,0,1.0,6,1,2,VFF,0.22714285714285715,0.0,0.6273809523809524,0.14547619047619048
EU,4-13 days,500-1000 GBP,2,1,1.0,2,1,3,Holiday,0.0,0.25,0.7,0.05
Non-EU Europe,1-3 days,500-1000 GBP,1,1,1.0,7,6,4,Business or Work,0.6191666666666666,0.0,0.3808333333333333,0.0
EU,1-3 days,0-250 GBP,1,0,1.0,2,1,7,VFF,0.0,0.0,0.7126731601731601,0.2873268398268399
EU,14-27 days,0-250 GBP,0,0,1.0,7,4,7,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,500-1000 GBP,2,0,1.0,5,5,5,Holiday,0.1,0.05,0.4833333333333333,0.36666666666666664
North America,14-27 days,250-500 GBP,0,0,1.0,7,3,4,VFF,0.0,0.0,0.15,0.85
EU,14-27 days,500-1000 GBP,1,0,5.0,4,4,5,Holiday,0.15,0.0,0.55,0.3
EU,1-3 days,0-250 GBP,0,1,1.0,4,2,1,VFF,0.0,0.0,0.32999999999999996,0.67
"Australia, NZ and Oceania",4-13 days,more than 5000 GBP,1,0,1.0,7,5,3,Holiday,0.6066666666666667,0.0,0.24333333333333335,0.15
Non-EU Europe,1-3 days,0-250 GBP,1,0,1.0,6,3,2,Business or Work,0.21749999999999997,0.0,0.7825000000000001,0.0
EU,1-3 days,500-1000 GBP,1,0,1.0,8,1,7,Holiday,0.85,0.0,0.15,0.0
EU,1-3 days,500-1000 GBP,1,1,5.0,7,2,7,Holiday,0.02,0.0,0.805,0.175
Asia,4-13 days,500-1000 GBP,1,1,1.0,6,7,1,Holiday,0.075,0.0,0.925,0.0
UK,4-13 days,1000-5000 GBP,2,1,1.0,4,3,2,Holiday,0.3,0.05,0.5,0.15
EU,1-3 days,0-250 GBP,1,0,1.0,7,3,1,Business or Work,0.39999999999999997,0.0,0.6,0.0
EU,4-13 days,250-500 GBP,1,0,5.0,4,7,2,Holiday,0.0,0.0,1.0,0.0
North America,4-13 days,1000-5000 GBP,1,0,1.0,6,2,3,Business or Work,0.4458333333333333,0.0,0.5541666666666666,0.0
EU,1-3 days,1000-5000 GBP,1,1,5.0,4,1,7,Holiday,0.07499999999999998,0.0,0.8013888888888889,0.12361111111111112
North America,,250-500 GBP,1,1,1.0,6,7,7,Business or Work,0.6,0.0,0.4,0.0
EU,1-3 days,0-250 GBP,1,0,1.0,4,4,3,Business or Work,0.820874183006536,0.0,0.0,0.17912581699346405
"Australia, NZ and Oceania",4-13 days,1000-5000 GBP,0,0,1.0,8,5,1,VFF,0.05,0.0,0.1,0.85
EU,4-13 days,500-1000 GBP,0,0,1.0,3,1,3,Holiday,0.0,0.7,0.3,0.0
UK,4-13 days,0-250 GBP,0,0,1.0,6,7,3,VFF,0.0,0.0,0.4958333333333333,0.5041666666666667
Asia,4-13 days,0-250 GBP,1,0,1.0,6,7,3,Holiday,0.7,0.0,0.2,0.1
Asia,14-27 days,500-1000 GBP,2,1,1.0,4,4,5,Holiday,0.0,0.0,0.85,0.15
EU,1-3 days,0-250 GBP,0,0,5.0,2,2,7,VFF,0.0,0.05,0.0,0.95
North America,4-13 days,500-1000 GBP,1,0,1.0,5,4,3,Holiday,0.3,0.0,0.7,0.0
EU,4-13 days,0-250 GBP,0,0,1.0,5,7,1,VFF,0.13499999999999998,0.0,0.15073773448773448,0.7142622655122656
EU,4-13 days,250-500 GBP,0,0,1.0,2,1,1,VFF,0.0,0.0,0.26666666666666666,0.7333333333333333
Non-EU Europe,1-3 days,250-500 GBP,1,1,1.0,2,1,7,VFF,0.0,0.0,1.0,0.0
North America,4-13 days,500-1000 GBP,0,1,1.0,8,4,2,VFF,0.05,0.0,0.2,0.75
EU,4-13 days,0-250 GBP,0,0,5.0,6,5,1,VFF,0.2541666666666667,0.0,0.12083333333333332,0.625
UK,4-13 days,0-250 GBP,0,0,1.0,4,7,3,VFF,0.0,0.0,0.0630952380952381,0.9369047619047619
North America,4-13 days,500-1000 GBP,1,1,1.0,5,2,4,Business or Work,0.0,0.0,1.0,0.0
