Broad_Nationality_encoded,Stay_Category_encoded,Spend_Category_encoded,accom_type,London_or_out,Flow,Age,DayOfWeek,TripStartDay,Broad_Purpose_encoded,Business or Work,Education or Other,Holiday,VFF
EU,14-27 days,500-1000 GBP,0,0,1.0,7,1,2,Holiday,0.0,0.0,0.025,0.975
EU,4-13 days,250-500 GBP,1,0,1.0,7,1,5,Business or Work,0.0,0.0,0.7527503052503053,0.24724969474969472
EU,,0-250 GBP,1,0,1.0,6,1,1,Holiday,0.1616978211209689,0.027173023336816437,0.66890620683185,0.14222294871036462
EU,1-3 days,0-250 GBP,0,0,1.0,2,1,6,VFF,0.0,0.030742398556771855,0.1981363093865449,0.7711212920566831
Africa,1-3 months,1000-5000 GBP,0,1,1.0,6,6,2,VFF,0.0,0.0,0.0,1.0
EU,,250-500 GBP,1,0,1.0,7,6,6,Business or Work,0.8459115660325338,0.0,0.07928280948442239,0.07480562448304384
"Australia, NZ and Oceania",1-3 months,0-250 GBP,0,0,1.0,8,6,6,VFF,0.0,0.0,0.0,1.0
EU,,250-500 GBP,1,0,1.0,4,6,6,Business or Work,0.9600541125541125,0.0,0.039945887445887444,0.0
EU,4-13 days,500-1000 GBP,1,0,1.0,2,6,3,Business or Work,0.47323953823953824,0.0,0.5267604617604618,0.0
EU,1-3 days,250-500 GBP,1,0,1.0,6,6,4,Business or Work,0.7771305355378583,0.0,0.18713053435250232,0.03573893010963949
EU,1-3 days,500-1000 GBP,2,0,1.0,6,6,4,Business or Work,0.7666666666666667,0.0,0.23333333333333334,0.0
EU,14-27 days,0-250 GBP,1,0,1.0,6,6,7,Business or Work,0.8333333333333333,0.05,0.11666666666666665,0.0
Asia,1-3 days,0-250 GBP,0,0,1.0,5,6,4,VFF,0.16,0.0,0.79,0.05
EU,,0-250 GBP,0,0,1.0,4,6,6,Business or Work,0.25282467532467534,0.01,0.20755411255411255,0.529621212121212
EU,4-13 days,250-500 GBP,1,0,1.0,5,6,2,Business or Work,0.6631204906204906,0.0,0.33687950937950933,0.0
EU,,0-250 GBP,0,0,1.0,4,6,6,Business or Work,0.25282467532467534,0.01,0.20755411255411255,0.529621212121212
EU,4-13 days,250-500 GBP,1,0,1.0,4,6,6,Business or Work,0.335,0.0,0.6316666666666666,0.03333333333333333
EU,4-13 days,0-250 GBP,1,0,1.0,4,6,2,Business or Work,0.8583333333333334,0.0,0.14166666666666666,0.0
EU,4-13 days,500-1000 GBP,0,0,1.0,2,6,6,VFF,0.0,0.0,0.85,0.15
EU,1-3 days,250-500 GBP,1,0,1.0,7,3,2,Business or Work,0.42977633477633476,0.0952020202020202,0.15262987012987014,0.3223917748917749
EU,1-3 days,1000-5000 GBP,0,1,1.0,7,3,1,Business or Work,0.0,0.0,1.0,0.0
EU,1-3 days,250-500 GBP,2,0,1.0,5,3,2,Business or Work,0.675,0.0,0.325,0.0
UK,4-13 days,1000-5000 GBP,0,0,1.0,7,3,6,VFF,0.08095238095238096,0.0,0.0,0.919047619047619
UK,4-13 days,500-1000 GBP,0,0,1.0,5,3,7,VFF,0.14805555555555555,0.0,0.2013888888888889,0.6505555555555556
North America,,500-1000 GBP,1,0,1.0,6,3,3,Business or Work,1.0,0.0,0.0,0.0
EU,14-27 days,0-250 GBP,0,0,1.0,3,3,4,VFF,0.0,0.13095238095238096,0.05357142857142857,0.8154761904761905
EU,,0-250 GBP,1,0,1.0,6,3,3,VFF,0.9762029544983777,0.0,0.009596774106310293,0.014200271395311997
UK,1-3 months,0-250 GBP,0,0,1.0,8,2,4,VFF,0.1,0.075,0.0,0.825
EU,4-13 days,0-250 GBP,0,0,1.0,5,5,7,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,0-250 GBP,0,0,1.0,6,5,2,VFF,0.0,0.0,0.25834165834165834,0.7416583416583417
"Australia, NZ and Oceania",4-13 days,0-250 GBP,0,0,1.0,6,5,2,VFF,0.0,0.0,0.27547619047619043,0.7245238095238096
EU,14-27 days,250-500 GBP,0,0,1.0,2,5,6,VFF,0.0,0.1,0.1,0.8
EU,4-13 days,0-250 GBP,0,0,1.0,5,5,2,VFF,0.0851461038961039,0.0,0.20980339105339105,0.705050505050505
EU,4-13 days,250-500 GBP,0,0,1.0,7,5,5,VFF,0.0,0.0,0.47000000000000003,0.53
Asia,14-27 days,1000-5000 GBP,0,0,1.0,2,5,3,VFF,0.0,0.3,0.3,0.4
EU,14-27 days,1000-5000 GBP,0,0,1.0,6,5,6,VFF,0.0,0.6,0.1833333333333333,0.21666666666666665
EU,4-13 days,250-500 GBP,0,0,1.0,4,5,6,VFF,0.09806239512121866,0.0,0.10906952524599582,0.7928680796327854
UK,4-13 days,0-250 GBP,0,0,1.0,5,5,7,VFF,0.0,0.0,0.2583333333333333,0.7416666666666667
North America,4-13 days,0-250 GBP,0,0,1.0,2,5,1,VFF,0.0,0.007692307692307693,0.14102564102564102,0.8512820512820513
EU,4-13 days,0-250 GBP,0,0,1.0,5,5,7,VFF,0.0,0.0,0.0,1.0
UK,4-13 days,250-500 GBP,1,0,1.0,2,5,3,VFF,0.2,0.0,0.4,0.4
UK,14-27 days,250-500 GBP,0,0,1.0,8,5,6,VFF,0.0,0.0,0.15273809523809523,0.8472619047619048
EU,4-13 days,0-250 GBP,0,0,1.0,7,5,3,VFF,0.8,0.0,0.0,0.2
UK,4-13 days,250-500 GBP,0,0,1.0,4,5,3,VFF,0.0,0.0,0.0,1.0
UK,1-3 days,0-250 GBP,0,0,1.0,4,5,3,VFF,0.09833333333333334,0.0,0.21000000000000002,0.6916666666666667
UK,4-13 days,0-250 GBP,0,0,1.0,5,5,2,VFF,0.0,0.0,0.25166666666666665,0.7483333333333333
EU,4-13 days,0-250 GBP,0,0,1.0,7,5,6,VFF,0.0,0.0,0.0,1.0
UK,4-13 days,0-250 GBP,0,0,1.0,2,5,3,VFF,0.0,0.0,0.11000000000000001,0.89
Non-EU Europe,4-13 days,0-250 GBP,0,0,1.0,6,5,5,VFF,0.0,0.0,0.21666666666666665,0.7833333333333333
EU,14-27 days,0-250 GBP,0,0,1.0,7,5,3,VFF,0.13333333333333333,0.0,0.0,0.8666666666666668
UK,4-13 days,0-250 GBP,0,0,1.0,5,5,1,VFF,0.0,0.15786435786435787,0.09845598845598846,0.7436796536796537
UK,1-3 days,250-500 GBP,0,0,1.0,8,5,3,VFF,0.1,0.0,0.0,0.9
Non-EU Europe,1-3 days,250-500 GBP,1,0,1.0,4,5,3,Holiday,0.13333333333333333,0.0,0.8666666666666666,0.0
UK,14-27 days,250-500 GBP,0,0,1.0,5,5,6,VFF,0.11464285714285713,0.0,0.0,0.8853571428571427
UK,4-13 days,0-250 GBP,0,0,1.0,2,5,6,VFF,0.0,0.0,0.0,1.0
UK,4-13 days,0-250 GBP,0,0,1.0,5,5,4,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,0-250 GBP,0,0,1.0,4,5,7,VFF,0.0,0.06765734265734266,0.0,0.9323426573426573
EU,1-3 days,0-250 GBP,0,0,1.0,2,5,3,VFF,0.0,0.05670660608741105,0.12435047537601715,0.8189429185365718
EU,4-13 days,250-500 GBP,0,0,1.0,5,5,2,VFF,0.0,0.0,0.4466893890423302,0.5533106109576698
UK,,0-250 GBP,1,0,1.0,6,1,1,Holiday,0.0,0.0,0.9047619047619048,0.09523809523809523
EU,,0-250 GBP,1,0,1.0,6,1,1,Holiday,0.1616978211209689,0.027173023336816437,0.66890620683185,0.14222294871036462
Non-EU Europe,1-3 days,250-500 GBP,1,0,1.0,6,1,6,Holiday,0.0,0.0,0.7505952380952381,0.24940476190476185
UK,14-27 days,250-500 GBP,0,0,1.0,8,1,2,VFF,0.0,0.0,0.0,1.0
EU,1-3 days,0-250 GBP,1,0,1.0,4,1,6,Holiday,0.20466520660456586,0.0,0.7453916664740464,0.04994312692138779
EU,1-3 days,250-500 GBP,1,0,1.0,7,1,7,Holiday,0.027638368027967587,0.0,0.820458200608887,0.15190343136314538
EU,1-3 days,250-500 GBP,1,0,1.0,5,1,7,Holiday,0.07275514303295716,0.009572606953702508,0.7129334624468978,0.2047387875664425
EU,1-3 days,500-1000 GBP,1,0,1.0,6,1,7,Holiday,0.10763679957966514,0.0,0.5886907797933246,0.3036724206270101
EU,1-3 days,250-500 GBP,1,0,1.0,2,1,7,Holiday,0.025649225104549467,0.01779043707843302,0.8243860542536543,0.1321742835633632
UK,4-13 days,250-500 GBP,0,0,1.0,6,1,7,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,250-500 GBP,2,0,1.0,6,1,5,Holiday,0.0,0.0,0.5172005772005771,0.48279942279942284
EU,,250-500 GBP,1,0,1.0,5,1,1,Holiday,0.1780392156862745,0.0,0.6937114845938376,0.12824929971988794
EU,1-3 days,250-500 GBP,1,0,1.0,5,1,7,Holiday,0.07275514303295716,0.009572606953702508,0.7129334624468978,0.2047387875664425
EU,1-3 days,500-1000 GBP,1,0,1.0,5,1,7,Holiday,0.10087090158090958,0.0,0.8230790037720167,0.07605009464707375
EU,1-3 days,250-500 GBP,2,0,1.0,5,1,7,Holiday,0.0,0.0,0.8818040293040292,0.1181959706959707
North America,1-3 months,500-1000 GBP,1,0,1.0,8,1,7,VFF,0.13333333333333333,0.0,0.4,0.4666666666666666
UK,14-27 days,250-500 GBP,0,0,1.0,4,1,2,VFF,0.0,0.0,0.0,1.0
EU,1-3 days,250-500 GBP,1,0,1.0,6,1,6,Holiday,0.0868665041041439,0.05781404102328891,0.7251607810922722,0.13015867378029483
UK,,0-250 GBP,1,0,1.0,6,1,1,VFF,0.0,0.0,0.9047619047619048,0.09523809523809523
EU,1-3 days,500-1000 GBP,1,0,1.0,6,1,7,Holiday,0.10763679957966514,0.0,0.5886907797933246,0.3036724206270101
EU,1-3 days,250-500 GBP,1,0,1.0,4,1,7,Holiday,0.04467126029032179,0.00538899430740038,0.8264404928610268,0.12349925254125083
EU,1-3 days,250-500 GBP,0,0,1.0,4,1,7,VFF,0.017373714458560195,0.0,0.6467732872444878,0.3358529982969519
EU,1-3 days,250-500 GBP,1,0,1.0,5,1,7,Holiday,0.07275514303295716,0.009572606953702508,0.7129334624468978,0.2047387875664425
EU,,0-250 GBP,1,0,1.0,3,1,1,Holiday,0.07458333333333333,0.0,0.800436507936508,0.12498015873015873
UK,14-27 days,500-1000 GBP,0,0,1.0,6,1,2,VFF,0.0,0.0,0.6023809523809524,0.39761904761904765
EU,1-3 days,0-250 GBP,1,0,1.0,6,1,7,Holiday,0.15558775385952495,0.0,0.5518790871643992,0.2925331589760759
EU,1-3 days,0-250 GBP,1,0,1.0,6,1,7,Holiday,0.15558775385952495,0.0,0.5518790871643992,0.2925331589760759
EU,1-3 days,250-500 GBP,1,0,1.0,6,1,7,Holiday,0.06747753469384044,0.011302650052650054,0.6640594514089734,0.2571603638445362
EU,1-3 days,250-500 GBP,1,0,1.0,5,1,7,Holiday,0.07275514303295716,0.009572606953702508,0.7129334624468978,0.2047387875664425
EU,1-3 days,1000-5000 GBP,1,0,1.0,6,1,7,Holiday,0.5284337884337884,0.0,0.4715662115662115,0.0
EU,1-3 days,250-500 GBP,2,0,1.0,5,1,7,Holiday,0.0,0.0,0.8818040293040292,0.1181959706959707
Asia,4-13 days,500-1000 GBP,0,0,1.0,5,2,3,VFF,0.0,0.0,0.0,1.0
EU,1-3 days,250-500 GBP,0,0,1.0,4,2,7,VFF,0.0,0.011298822639602355,0.6109458061125504,0.37775537124784725
UK,14-27 days,0-250 GBP,0,0,1.0,8,2,3,VFF,0.0,0.0,0.0,1.0
EU,1-3 days,0-250 GBP,0,0,1.0,4,2,7,VFF,0.00885492768496092,0.0,0.17094166807594754,0.8202034042390915
UK,4-13 days,0-250 GBP,0,0,1.0,5,2,5,VFF,0.125,0.0,0.0,0.8749999999999998
EU,4-13 days,250-500 GBP,1,0,1.0,2,2,6,VFF,0.06573369441016501,0.0748618147418457,0.7432266310400986,0.11617785980789078
UK,4-13 days,0-250 GBP,0,0,1.0,4,2,6,VFF,0.0,0.034293219035866095,0.22356342595313183,0.7421433550110021
UK,1-3 months,500-1000 GBP,0,0,1.0,7,2,2,VFF,0.0,0.4,0.1,0.5
EU,1-3 days,0-250 GBP,1,0,1.0,7,2,7,Holiday,0.0,0.0,0.8451301476301477,0.15486985236985237
EU,4-13 days,0-250 GBP,0,0,1.0,8,2,5,VFF,0.0,0.0,0.0,1.0
UK,4-13 days,0-250 GBP,0,0,1.0,5,2,6,VFF,0.06821890341133427,0.0,0.02648008911166806,0.9053010074769976
UK,1-3 days,0-250 GBP,0,0,1.0,8,2,7,VFF,0.0,0.0,0.10809523809523809,0.891904761904762
UK,4-13 days,0-250 GBP,0,0,1.0,7,2,6,Business or Work,0.0,0.050239166131220106,0.05290432705725059,0.8968565068115293
EU,1-3 months,500-1000 GBP,0,0,1.0,4,2,5,VFF,0.0,0.0,0.1,0.9
EU,1-3 days,500-1000 GBP,1,0,1.0,6,2,7,Holiday,0.11992040602064695,0.026302282111452063,0.7548771094358548,0.09890020243204611
EU,4-13 days,0-250 GBP,0,0,1.0,8,2,6,Holiday,0.0,0.0,0.03836892274392274,0.9616310772560773
EU,1-3 days,0-250 GBP,1,0,1.0,5,2,7,Holiday,0.14859118094412213,0.0,0.6825665524194936,0.1688422666363843
UK,1-3 days,0-250 GBP,0,0,1.0,4,2,7,VFF,0.0,0.0,0.10904776141469945,0.8909522385853006
EU,1-3 days,250-500 GBP,2,0,1.0,4,2,1,Holiday,0.16412698412698412,0.0,0.6450793650793651,0.1907936507936508
EU,4-13 days,0-250 GBP,0,0,1.0,8,2,6,VFF,0.0,0.0,0.03836892274392274,0.9616310772560773
UK,1-3 days,250-500 GBP,0,0,1.0,6,2,7,VFF,0.0,0.04143217893217893,0.11220149733307627,0.8463663237347447
EU,,0-250 GBP,1,0,1.0,7,2,2,VFF,0.6044444444444446,0.2483333333333333,0.0,0.1472222222222222
EU,1-3 days,250-500 GBP,1,0,1.0,8,1,6,Holiday,0.0,0.0,0.425952380952381,0.574047619047619
UK,1-3 months,0-250 GBP,0,0,1.0,8,1,6,VFF,0.0,0.0,0.13333333333333333,0.8666666666666666
EU,1-3 days,0-250 GBP,1,0,1.0,4,1,7,Holiday,0.06400770644287615,0.009437455579246624,0.7550422213283372,0.17151261664954004
UK,1-3 days,0-250 GBP,1,0,1.0,4,1,7,VFF,0.09619047619047619,0.0,0.5846031746031746,0.31920634920634916
EU,,250-500 GBP,1,0,1.0,2,1,1,Holiday,0.0,0.0,0.8697943722943723,0.13020562770562769
EU,,0-250 GBP,1,0,1.0,4,1,1,Holiday,0.23745983921599373,0.06329396928293363,0.63095774423024,0.06828844727083268
EU,1-3 days,0-250 GBP,0,0,1.0,4,1,7,VFF,0.012038983293127881,0.011003654714730937,0.23303078716870917,0.7439265748234319
EU,1-3 days,0-250 GBP,0,0,1.0,2,1,6,Business or Work,0.0,0.030742398556771855,0.1981363093865449,0.7711212920566831
UK,1-3 days,0-250 GBP,0,0,1.0,8,1,6,VFF,0.0,0.0,0.0,1.0
EU,1-3 days,250-500 GBP,1,0,1.0,6,1,7,Holiday,0.06747753469384044,0.011302650052650054,0.6640594514089734,0.2571603638445362
EU,1-3 days,0-250 GBP,0,0,1.0,4,1,6,VFF,0.016291047096097282,0.0,0.16031125092960968,0.8233977019742931
EU,1-3 days,0-250 GBP,0,0,1.0,4,1,7,VFF,0.012038983293127881,0.011003654714730937,0.23303078716870917,0.7439265748234319
EU,1-3 days,0-250 GBP,0,0,1.0,4,1,7,VFF,0.012038983293127881,0.011003654714730937,0.23303078716870917,0.7439265748234319
EU,1-3 days,0-250 GBP,0,0,1.0,4,1,7,VFF,0.012038983293127881,0.011003654714730937,0.23303078716870917,0.7439265748234319
EU,1-3 days,0-250 GBP,0,0,1.0,2,1,7,VFF,0.0,0.0,0.2659958877954292,0.7340041122045708
EU,1-3 days,0-250 GBP,0,0,1.0,2,1,6,VFF,0.0,0.030742398556771855,0.1981363093865449,0.7711212920566831
EU,1-3 days,0-250 GBP,0,0,1.0,4,1,6,VFF,0.016291047096097282,0.0,0.16031125092960968,0.8233977019742931
EU,1-3 days,0-250 GBP,0,0,1.0,4,1,7,VFF,0.012038983293127881,0.011003654714730937,0.23303078716870917,0.7439265748234319
EU,1-3 days,0-250 GBP,0,0,1.0,2,1,7,VFF,0.0,0.0,0.2659958877954292,0.7340041122045708
EU,1-3 days,0-250 GBP,0,0,1.0,6,1,6,VFF,0.08283790435870779,0.0,0.15877498574772606,0.758387109893566
EU,4-13 days,250-500 GBP,0,0,1.0,5,1,2,VFF,0.0,0.09570159802357944,0.0,0.9042984019764205
EU,1-3 days,250-500 GBP,1,0,1.0,5,1,7,Holiday,0.07275514303295716,0.009572606953702508,0.7129334624468978,0.2047387875664425
EU,1-3 days,0-250 GBP,0,0,1.0,4,1,6,VFF,0.016291047096097282,0.0,0.16031125092960968,0.8233977019742931
"Australia, NZ and Oceania",4-13 days,1000-5000 GBP,0,0,1.0,6,1,2,VFF,0.2,0.0,0.1,0.7
EU,4-13 days,0-250 GBP,0,0,1.0,4,1,5,VFF,0.018651748827577825,0.021606723172020715,0.1896781933987962,0.7700633346016053
Non-EU Europe,1-3 days,250-500 GBP,1,0,1.0,8,1,7,VFF,0.0125,0.18333333333333335,0.5658333333333333,0.23833333333333334
EU,1-3 days,0-250 GBP,1,0,1.0,4,1,7,Business or Work,0.06400770644287615,0.009437455579246624,0.7550422213283372,0.17151261664954004
EU,1-3 days,250-500 GBP,2,0,1.0,7,1,7,Holiday,0.2575793650793651,0.0,0.4750793650793651,0.2673412698412698
EU,,250-500 GBP,1,0,1.0,4,1,1,Holiday,0.0,0.0,0.9235281385281388,0.07647186147186148
"Australia, NZ and Oceania",1-3 days,500-1000 GBP,2,0,1.0,5,1,7,VFF,0.0,0.1,0.3,0.6
EU,4-13 days,0-250 GBP,0,0,1.0,4,1,4,VFF,0.0,0.0,0.11648851148851147,0.8835114885114883
UK,4-13 days,0-250 GBP,0,0,1.0,6,1,5,VFF,0.06539782427082198,0.0,0.06134073655812786,0.8732614391710503
"Australia, NZ and Oceania",1-3 days,0-250 GBP,0,0,1.0,5,1,7,VFF,0.0,0.0,0.4066666666666666,0.5933333333333334
UK,4-13 days,0-250 GBP,0,0,1.0,7,1,3,VFF,0.36365079365079367,0.0,0.25547619047619047,0.38087301587301586
EU,1-3 days,250-500 GBP,1,0,1.0,6,1,7,VFF,0.06747753469384044,0.011302650052650054,0.6640594514089734,0.2571603638445362
EU,1-3 days,0-250 GBP,1,0,1.0,5,1,7,Holiday,0.08325167972120032,0.016657854723892456,0.6346076371476772,0.26548282840723003
EU,1-3 days,250-500 GBP,0,0,1.0,5,1,7,Holiday,0.08654212486109038,0.0,0.616179809175499,0.29727806596341083
EU,4-13 days,0-250 GBP,1,0,1.0,8,1,5,VFF,0.0,0.0,0.1,0.9
UK,1-3 days,0-250 GBP,1,0,1.0,7,1,7,Holiday,0.0,0.0,0.2902380952380953,0.7097619047619048
North America,1-3 days,250-500 GBP,1,0,1.0,7,4,3,Business or Work,0.5,0.0,0.5,0.0
EU,4-13 days,0-250 GBP,0,0,1.0,4,4,6,VFF,0.14141996891996894,0.0,0.1446775446775447,0.7139024864024864
EU,4-13 days,0-250 GBP,0,0,1.0,4,4,7,VFF,0.015263157894736843,0.0,0.06901550772601316,0.9157213343792501
EU,1-3 days,250-500 GBP,0,0,1.0,6,4,3,VFF,1.0,0.0,0.0,0.0
EU,4-13 days,500-1000 GBP,0,0,1.0,5,4,5,VFF,0.0,0.0,0.5424511599511599,0.45754884004884006
EU,4-13 days,250-500 GBP,0,0,1.0,5,4,5,VFF,0.0,0.0,0.17809523809523808,0.821904761904762
EU,1-3 days,250-500 GBP,1,0,1.0,5,4,3,Business or Work,0.9153675625531023,0.0,0.08463243744689795,0.0
North America,4-13 days,500-1000 GBP,0,0,1.0,5,4,3,Business or Work,0.0,0.0,0.0,1.0
UK,4-13 days,250-500 GBP,0,0,1.0,5,4,1,VFF,0.0,0.0,0.0,1.0
EU,1-3 days,250-500 GBP,1,0,1.0,7,4,2,Business or Work,0.10456349206349205,0.0,0.5936507936507937,0.30178571428571427
UK,4-13 days,0-250 GBP,0,0,1.0,6,4,1,VFF,0.0,0.0,0.17879953379953378,0.8212004662004662
EU,,0-250 GBP,1,0,1.0,5,4,4,Business or Work,0.8142095126146188,0.0,0.14620063469550965,0.03958985268987157
EU,14-27 days,0-250 GBP,0,0,1.0,4,4,5,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,250-500 GBP,0,0,1.0,2,4,7,VFF,0.0,0.0,0.23408591408591403,0.7659140859140858
EU,4-13 days,250-500 GBP,0,0,1.0,7,4,3,VFF,0.0,0.0,0.675,0.325
