Broad_Nationality_encoded,Stay_Category_encoded,Spend_Category_encoded,Flow,Age,London_or_out,accom_type,DayOfWeek,TripStartDay,Broad_Purpose_encoded,Business or Work,Education or Other,Holiday,VFF
South America,4-13 days,250-500 GBP,1.0,5,0,0,5,6.0,VFF,0.0,0.0,0.3,0.7
EU,14-27 days,1000-5000 GBP,1.0,7,0,1,5,6.0,Business or Work,0.0,0.0,0.5333333333333334,0.4666666666666667
EU,4-13 days,0-250 GBP,1.0,4,0,0,5,1.0,VFF,0.0,0.0,0.3088067293903208,0.6911932706096793
EU,1-3 months,0-250 GBP,1.0,2,0,0,5,6.0,VFF,0.6799999999999999,0.3,0.0,0.02
EU,6,0-250 GBP,1.0,8,0,1,5,5.0,Business or Work,0.2,0.0,0.65,0.15
EU,4-13 days,0-250 GBP,1.0,5,0,0,5,7.0,VFF,0.0,0.0,0.15011904761904762,0.8498809523809523
EU,1-3 days,500-1000 GBP,1.0,5,0,1,5,4.0,Business or Work,0.9571632027671522,0.0,0.04283679723284773,0.0
EU,1-3 days,500-1000 GBP,1.0,6,1,0,7,5.0,VFF,0.2,0.0,0.21666666666666665,0.5833333333333333
EU,1-3 days,250-500 GBP,1.0,6,0,1,7,5.0,Holiday,0.38245143745143745,0.0,0.47548035298035296,0.1420682095682096
EU,1-3 days,0-250 GBP,1.0,2,0,0,7,6.0,VFF,0.0,0.0,0.24933419521654815,0.7506658047834518
South America,4-13 days,500-1000 GBP,1.0,5,0,0,7,3.0,VFF,0.1,0.0,0.1,0.8
EU,1-3 days,0-250 GBP,1.0,4,0,0,7,5.0,VFF,0.0,0.044829481650276684,0.164148851296208,0.7910216670535153
EU,1-3 days,250-500 GBP,1.0,4,0,1,7,6.0,Holiday,0.0,0.0,0.769615245865246,0.23038475413475412
EU,1-3 days,1000-5000 GBP,1.0,7,0,1,7,5.0,Holiday,0.18,0.0,0.82,0.0
EU,1-3 days,250-500 GBP,1.0,6,0,1,7,5.0,VFF,0.38245143745143745,0.0,0.47548035298035296,0.1420682095682096
EU,1-3 months,1000-5000 GBP,1.0,7,0,0,7,2.0,VFF,0.16666666666666666,0.0,0.3,0.5333333333333333
South America,4-13 days,500-1000 GBP,1.0,7,0,0,7,1.0,VFF,0.0,0.0,0.21666666666666665,0.7833333333333334
Non-EU Europe,1-3 days,0-250 GBP,1.0,4,0,0,7,6.0,VFF,0.017391304347826087,0.0,0.0,0.9826086956521738
EU,1-3 days,250-500 GBP,1.0,5,0,1,7,6.0,Holiday,0.5915456254272045,0.0,0.29594431153641676,0.11251006303637882
EU,1-3 days,500-1000 GBP,1.0,6,0,1,7,6.0,Holiday,0.2998088023088023,0.0,0.5889538239538239,0.11123737373737375
EU,1-3 days,250-500 GBP,1.0,6,0,1,7,6.0,Holiday,0.1903409090909091,0.0,0.4614790764790765,0.3481800144300144
South America,4-13 days,1000-5000 GBP,1.0,5,0,1,7,5.0,VFF,0.625,0.0,0.375,0.0
EU,6,250-500 GBP,1.0,7,0,1,7,7.0,Holiday,0.0,0.0,0.85,0.15
EU,1-3 days,250-500 GBP,1.0,4,0,2,7,6.0,Holiday,0.36428571428571427,0.0,0.6357142857142857,0.0
EU,14-27 days,500-1000 GBP,1.0,3,0,0,7,1.0,VFF,0.1,0.025,0.875,0.0
South America,1-3 days,0-250 GBP,1.0,3,0,1,7,5.0,Holiday,0.3,0.3,0.18333333333333332,0.21666666666666665
South America,1-3 days,0-250 GBP,1.0,2,0,0,7,6.0,VFF,0.0,0.0,0.8532142857142857,0.14678571428571427
EU,1-3 days,0-250 GBP,1.0,3,0,0,7,6.0,VFF,0.0,0.0,0.5091036414565826,0.4908963585434174
EU,1-3 days,250-500 GBP,1.0,6,0,1,7,6.0,Holiday,0.1903409090909091,0.0,0.4614790764790765,0.3481800144300144
EU,1-3 days,250-500 GBP,1.0,4,0,2,7,6.0,Holiday,0.36428571428571427,0.0,0.6357142857142857,0.0
EU,4-13 days,0-250 GBP,1.0,7,0,0,7,7.0,VFF,0.0,0.00909090909090909,0.00909090909090909,0.9818181818181818
Non-EU Europe,4-13 days,500-1000 GBP,1.0,7,0,0,7,7.0,VFF,0.3,0.0,0.3787878787878788,0.32121212121212117
EU,4-13 days,0-250 GBP,1.0,3,0,1,7,4.0,VFF,0.16666666666666666,0.01111111111111111,0.8222222222222222,0.0
EU,1-3 days,0-250 GBP,1.0,5,0,2,7,6.0,VFF,0.17030303030303032,0.05,0.5463636363636363,0.2333333333333333
EU,1-3 days,250-500 GBP,1.0,5,0,1,7,6.0,VFF,0.5915456254272045,0.0,0.29594431153641676,0.11251006303637882
EU,1-3 days,250-500 GBP,1.0,4,0,1,7,6.0,Holiday,0.0,0.0,0.769615245865246,0.23038475413475412
EU,1-3 days,500-1000 GBP,1.0,6,0,1,7,6.0,Holiday,0.2998088023088023,0.0,0.5889538239538239,0.11123737373737375
EU,6,500-1000 GBP,1.0,7,0,1,7,7.0,Holiday,0.0,0.0,0.5916666666666667,0.4083333333333333
EU,1-3 days,250-500 GBP,1.0,6,0,0,7,5.0,VFF,0.0,0.0,0.6773448773448775,0.32265512265512264
EU,1-3 days,250-500 GBP,1.0,8,0,1,7,6.0,Holiday,0.037606837606837605,0.0,0.3163369963369963,0.646056166056166
South America,6,0-250 GBP,1.0,7,0,0,3,3.0,VFF,0.0,0.0,0.1,0.9
EU,1-3 days,250-500 GBP,1.0,5,0,1,3,2.0,Business or Work,0.8353035825046989,0.030292853140082777,0.13440356435521833,0.0
EU,6,0-250 GBP,1.0,8,0,0,3,3.0,VFF,0.0,0.07333333333333333,0.0,0.9266666666666665
EU,1-3 days,0-250 GBP,1.0,2,0,1,3,2.0,Holiday,0.6112698412698412,0.0,0.3887301587301587,0.0
EU,14-27 days,250-500 GBP,1.0,6,0,0,1,2.0,VFF,0.0,0.0,0.0,1.0
EU,1-3 days,500-1000 GBP,1.0,4,0,0,1,7.0,VFF,0.0,0.0,0.6852564102564103,0.3147435897435897
South America,14-27 days,0-250 GBP,1.0,8,0,0,1,2.0,VFF,0.0,0.0,0.0,1.0
South America,1-3 months,1000-5000 GBP,1.0,8,0,0,1,1.0,VFF,0.0,0.0,0.7,0.3
EU,4-13 days,0-250 GBP,1.0,4,0,0,1,2.0,VFF,0.0,0.0,0.18216147137959948,0.8178385286204005
South America,4-13 days,0-250 GBP,1.0,4,0,0,4,1.0,VFF,0.0,0.0,0.0,1.0
EU,14-27 days,250-500 GBP,1.0,5,0,0,4,7.0,VFF,0.0,0.1,0.10512820512820513,0.7948717948717949
South America,4-13 days,500-1000 GBP,1.0,6,0,0,4,6.0,VFF,0.0,0.0,0.9,0.1
EU,4-13 days,0-250 GBP,1.0,5,0,0,7,2.0,VFF,0.0,0.0,0.0,1.0
South America,14-27 days,500-1000 GBP,1.0,7,0,0,7,6.0,VFF,0.0,0.0,0.3,0.7
North America,4-13 days,1000-5000 GBP,1.0,6,0,1,7,2.0,VFF,0.7003058694742265,0.05519607843137255,0.24449805209440098,0.0
South America,14-27 days,0-250 GBP,1.0,8,0,0,7,6.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,250-500 GBP,1.0,2,0,0,7,4.0,VFF,0.0,0.09477845683728037,0.6121138910109498,0.2931076521517698
EU,1-3 days,0-250 GBP,1.0,4,0,0,7,5.0,VFF,0.0,0.044829481650276684,0.164148851296208,0.7910216670535153
EU,4-13 days,250-500 GBP,1.0,7,0,0,7,1.0,VFF,0.0,0.0,0.08234357288065727,0.9176564271193426
EU,4-13 days,500-1000 GBP,1.0,4,0,0,7,1.0,VFF,0.0,0.0,0.3876262626262626,0.6123737373737373
EU,14-27 days,0-250 GBP,1.0,8,0,0,7,1.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,0-250 GBP,1.0,8,0,0,7,2.0,VFF,0.0,0.0,0.0,1.0
South America,14-27 days,0-250 GBP,1.0,4,0,0,2,3.0,VFF,0.1,0.05,0.25,0.6
South America,14-27 days,500-1000 GBP,1.0,4,1,0,2,6.0,VFF,0.1,0.1,0.4666666666666666,0.33333333333333337
EU,4-13 days,500-1000 GBP,1.0,4,0,0,2,6.0,VFF,0.0,0.0,0.7502405002405003,0.24975949975949976
South America,14-27 days,0-250 GBP,1.0,4,0,0,2,5.0,VFF,0.1,0.0,0.3,0.6
EU,4-13 days,0-250 GBP,1.0,2,0,0,2,5.0,VFF,0.0,0.0,0.2198669321584923,0.7801330678415078
North America,4-13 days,250-500 GBP,1.0,5,0,0,2,2.0,VFF,0.0,0.0,0.8666666666666666,0.13333333333333333
EU,14-27 days,0-250 GBP,1.0,5,0,0,2,5.0,VFF,0.0,0.0,0.08910256410256409,0.9108974358974358
Asia,14-27 days,500-1000 GBP,1.0,5,0,0,2,2.0,VFF,0.1,0.16428571428571428,0.0375,0.6982142857142857
EU,4-13 days,1000-5000 GBP,1.0,2,0,0,2,2.0,VFF,0.0,0.2,0.55,0.25
Asia,4-13 days,1000-5000 GBP,1.0,4,1,0,2,5.0,VFF,0.0,0.0,0.6983333333333334,0.30166666666666664
South America,4-13 days,500-1000 GBP,1.0,4,0,0,2,6.0,VFF,0.0,0.0,0.1,0.9
EU,14-27 days,500-1000 GBP,1.0,6,0,0,2,3.0,VFF,0.0,0.0,0.5066666666666667,0.4933333333333333
South America,14-27 days,250-500 GBP,1.0,4,1,0,2,7.0,VFF,0.0,0.1,0.3,0.6
EU,14-27 days,500-1000 GBP,1.0,3,1,0,2,3.0,VFF,0.0,0.0,0.6583333333333334,0.3416666666666667
South America,14-27 days,250-500 GBP,1.0,7,0,0,2,3.0,VFF,0.0,0.0,0.2,0.8
EU,4-13 days,250-500 GBP,1.0,4,0,0,2,5.0,VFF,0.0,0.0,0.3036406986487055,0.6963593013512946
South America,4-13 days,500-1000 GBP,1.0,2,0,0,2,6.0,VFF,0.0,0.0,0.5,0.5
South America,4-13 days,250-500 GBP,1.0,7,0,0,2,5.0,VFF,0.0,0.0,0.72,0.27999999999999997
Africa,14-27 days,1000-5000 GBP,1.0,3,1,1,2,2.0,VFF,0.12222222222222223,0.2,0.47777777777777775,0.2
EU,4-13 days,0-250 GBP,1.0,5,0,0,2,5.0,VFF,0.0,0.0,0.2566967417495783,0.7433032582504218
South America,4-13 days,500-1000 GBP,1.0,5,0,0,2,7.0,VFF,0.4,0.0,0.275,0.325
Non-EU Europe,14-27 days,250-500 GBP,1.0,6,0,0,2,3.0,VFF,0.0,0.0,0.8,0.2
EU,4-13 days,500-1000 GBP,1.0,6,1,0,2,5.0,VFF,0.19250000000000003,0.0,0.20833333333333334,0.5991666666666667
Non-EU Europe,4-13 days,250-500 GBP,1.0,3,1,1,2,1.0,Holiday,0.0,0.0,1.0,0.0
South America,14-27 days,0-250 GBP,1.0,4,0,0,2,3.0,VFF,0.1,0.05,0.25,0.6
South America,4-13 days,500-1000 GBP,1.0,8,0,0,2,5.0,VFF,0.1,0.0,0.8222222222222222,0.07777777777777778
EU,4-13 days,500-1000 GBP,1.0,5,1,0,2,2.0,Holiday,0.0,0.1,0.4,0.5
EU,4-13 days,500-1000 GBP,1.0,4,0,0,2,7.0,Holiday,0.0,0.0,0.22222222222222224,0.7777777777777778
Other,4-13 days,250-500 GBP,1.0,2,0,0,2,5.0,VFF,0.0,0.5,0.2,0.3
Non-EU Europe,4-13 days,250-500 GBP,1.0,4,0,0,2,2.0,VFF,0.0,0.0,0.2,0.8
EU,4-13 days,0-250 GBP,1.0,7,0,0,2,4.0,VFF,0.0,0.0,0.23500000000000001,0.7649999999999999
"Australia, NZ and Oceania",14-27 days,250-500 GBP,1.0,4,0,0,2,2.0,VFF,0.0,0.0,0.1,0.9
EU,4-13 days,0-250 GBP,1.0,4,0,1,2,5.0,Holiday,0.0,0.0,0.2716666666666666,0.7283333333333333
South America,4-13 days,250-500 GBP,1.0,8,0,0,2,3.0,Holiday,0.0,0.0,0.36,0.64
South America,14-27 days,0-250 GBP,1.0,6,0,0,2,3.0,VFF,0.35,0.0,0.1,0.55
South America,14-27 days,1000-5000 GBP,1.0,4,0,0,2,1.0,VFF,0.15,0.3,0.2,0.35
North America,4-13 days,1000-5000 GBP,1.0,7,1,0,2,1.0,Holiday,0.05,0.0,0.2833333333333333,0.6666666666666666
South America,4-13 days,250-500 GBP,1.0,6,1,1,2,5.0,Holiday,0.0,0.0,1.0,0.0
Non-EU Europe,14-27 days,500-1000 GBP,1.0,3,1,0,2,7.0,Holiday,0.0,0.0,0.4,0.6
South America,14-27 days,0-250 GBP,1.0,4,0,0,2,3.0,VFF,0.1,0.05,0.25,0.6
EU,14-27 days,250-500 GBP,1.0,5,0,0,4,5.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,500-1000 GBP,1.0,5,0,0,4,5.0,VFF,0.0,0.0,0.461050061050061,0.538949938949939
EU,4-13 days,250-500 GBP,1.0,5,0,0,4,6.0,VFF,0.0,0.0,0.2797061272061272,0.7202938727938728
South America,14-27 days,0-250 GBP,1.0,5,0,0,4,5.0,VFF,0.0,0.0,0.2,0.8
Africa,14-27 days,1000-5000 GBP,1.0,4,0,0,4,3.0,VFF,0.0,0.1,0.3,0.6
South America,14-27 days,0-250 GBP,1.0,2,1,0,4,1.0,VFF,0.0,0.0,0.05,0.95
EU,1-3 days,0-250 GBP,1.0,4,1,1,4,2.0,Holiday,0.3633452168746286,0.0,0.6366547831253713,0.0
South America,14-27 days,500-1000 GBP,1.0,7,0,0,4,5.0,VFF,0.0,0.0,0.45583333333333326,0.5441666666666667
EU,4-13 days,0-250 GBP,1.0,3,1,0,4,1.0,VFF,0.1,0.13333333333333333,0.37740384615384615,0.38926282051282046
