Broad_Nationality_encoded,Stay_Category_encoded,Spend_Category_encoded,accom_type,London_or_out,Flow,Age,DayOfWeek,TripStartDay,Broad_Purpose_encoded,Business or Work,Education and Other,Holiday,VFF
EU,1-3 days,500-1000 GBP,0,1,1.0,8,1,7.0,VFF,0.1,0.0,0.2,0.7
Asia,14-27 days,0-250 GBP,0,0,1.0,7,1,2.0,VFF,0.0,0.1,0.3,0.6
EU,1-3 days,250-500 GBP,1,0,1.0,6,2,1.0,Business or Work,0.8225,0.0,0.1525,0.025
North America,4-13 days,1000-5000 GBP,1,1,1.0,6,5,6.0,Holiday,0.3298953823953824,0.0,0.6701046176046177,0.0
EU,1-3 days,500-1000 GBP,1,0,5.0,8,2,1.0,Business or Work,0.3125,0.05,0.5875,0.05
EU,1-3 days,0-250 GBP,0,0,1.0,8,7,6.0,Holiday,0.0,0.0,0.0,1.0
EU,4-13 days,500-1000 GBP,0,0,1.0,5,5,2.0,VFF,0.0,0.0,0.22142857142857145,0.7785714285714286
South America,4-13 days,500-1000 GBP,1,1,1.0,5,1,5.0,Holiday,0.0,0.0,0.475,0.525
EU,1-3 days,0-250 GBP,1,0,1.0,4,1,6.0,Holiday,0.10847097347097345,0.0,0.7403975191475192,0.15113150738150738
Africa,1-3 days,0-250 GBP,0,1,1.0,5,1,6.0,VFF,0.05,0.0,0.35198412698412707,0.598015873015873
Africa,4-13 days,250-500 GBP,0,0,1.0,4,7,4.0,Holiday,0.0,0.0,0.07984126984126984,0.9201587301587303
South America,14-27 days,1000-5000 GBP,0,0,1.0,6,1,1.0,VFF,0.0,0.15,0.3,0.55
North America,,0-250 GBP,1,0,1.0,8,4,4.0,Holiday,0.20416666666666666,0.0,0.7958333333333333,0.0
UK,3-6 months,1000-5000 GBP,0,0,1.0,4,6,6.0,VFF,0.04642857142857143,0.0,0.05,0.9035714285714285
EU,4-13 days,1000-5000 GBP,0,0,1.0,5,1,5.0,VFF,0.0,0.0,0.014285714285714285,0.9857142857142858
EU,4-13 days,0-250 GBP,0,0,1.0,4,1,5.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,1000-5000 GBP,0,0,1.0,5,7,2.0,VFF,0.05,0.0,0.2,0.75
EU,1-3 days,250-500 GBP,2,1,1.0,6,6,5.0,Holiday,0.04916666666666667,0.1,0.7508333333333332,0.1
EU,1-3 days,1000-5000 GBP,1,0,1.0,5,6,5.0,Business or Work,0.1,0.0,0.5008333333333334,0.3991666666666666
EU,,more than 5000 GBP,1,0,5.0,5,4,4.0,Business or Work,0.75,0.0,0.05,0.2
Asia,1-3 months,,1,0,1.0,6,3,4.0,Holiday,0.35,0.0,0.3,0.35
North America,4-13 days,more than 5000 GBP,0,1,1.0,7,7,1.0,VFF,0.2,0.05,0.05,0.7
EU,4-13 days,250-500 GBP,2,1,1.0,5,1,5.0,Holiday,0.0,0.05,0.9375,0.0125
EU,,1000-5000 GBP,1,1,1.0,5,6,6.0,Business or Work,0.3,0.0,0.7,0.0
"Australia, NZ and Oceania",14-27 days,1000-5000 GBP,1,1,1.0,7,1,5.0,VFF,0.05,0.15,0.5416666666666666,0.2583333333333333
EU,1-3 days,0-250 GBP,1,0,1.0,5,5,4.0,Business or Work,0.2818939393939394,0.0,0.5287716450216451,0.18933441558441555
North America,4-13 days,500-1000 GBP,1,1,1.0,4,7,1.0,Holiday,0.0,0.0,1.0,0.0
EU,4-13 days,1000-5000 GBP,1,0,1.0,4,7,5.0,Holiday,0.0,0.0,1.0,0.0
EU,4-13 days,250-500 GBP,1,1,5.0,6,6,7.0,Holiday,0.1,0.0,0.65,0.25
EU,3-6 months,1000-5000 GBP,2,0,1.0,2,7,1.0,Education and Other,0.15,0.4,0.2,0.25
EU,4-13 days,500-1000 GBP,0,0,1.0,5,5,6.0,VFF,0.05,0.0,0.05,0.9
EU,1-3 days,500-1000 GBP,1,1,1.0,2,4,3.0,Holiday,0.0,0.0,1.0,0.0
North America,,0-250 GBP,1,0,5.0,5,3,3.0,Holiday,0.15,0.0,0.85,0.0
Asia,4-13 days,1000-5000 GBP,1,0,1.0,5,7,1.0,Holiday,0.8845833333333335,0.0,0.11541666666666668,0.0
EU,4-13 days,250-500 GBP,1,1,1.0,5,7,4.0,Holiday,0.0,0.0,1.0,0.0
Asia,4-13 days,250-500 GBP,0,0,1.0,4,7,4.0,VFF,0.0,0.0,0.1298412698412698,0.8701587301587302
EU,4-13 days,500-1000 GBP,1,0,1.0,5,5,1.0,Business or Work,1.0,0.0,0.0,0.0
EU,1-3 days,0-250 GBP,0,1,5.0,5,1,6.0,VFF,0.27,0.0,0.01,0.7200000000000001
Asia,14-27 days,1000-5000 GBP,0,1,1.0,8,4,5.0,Holiday,0.0,0.0,0.1,0.9
North America,,1000-5000 GBP,1,0,1.0,6,6,6.0,Business or Work,0.45,0.0,0.3,0.25
EU,1-3 days,500-1000 GBP,1,1,1.0,6,7,5.0,Holiday,0.04791588225679287,0.0,0.9520841177432071,0.0
EU,1-3 days,0-250 GBP,2,0,5.0,8,7,6.0,VFF,0.0,0.0,0.3,0.7
EU,,250-500 GBP,1,0,1.0,5,2,2.0,Business or Work,0.6963020494727149,0.0,0.1832434790441756,0.12045447148310925
UK,1-3 days,250-500 GBP,1,0,1.0,5,4,3.0,Business or Work,0.95,0.0,0.05,0.0
EU,4-13 days,0-250 GBP,0,0,1.0,8,5,5.0,VFF,0.0,0.0,0.0,1.0
UK,1-3 days,250-500 GBP,0,0,1.0,8,4,2.0,VFF,0.0,0.1,0.0,0.9
South America,4-13 days,1000-5000 GBP,0,0,1.0,4,6,2.0,Holiday,0.1,0.05,0.45,0.4
EU,4-13 days,250-500 GBP,0,0,1.0,3,4,1.0,VFF,0.0,0.05,0.17166666666666666,0.7783333333333334
Non-EU Europe,4-13 days,250-500 GBP,0,0,1.0,7,5,2.0,Holiday,0.0,0.0,0.057738095238095234,0.9422619047619047
EU,1-3 days,250-500 GBP,1,0,1.0,5,1,6.0,VFF,0.0,0.0,0.7807310744810747,0.21926892551892557
North America,14-27 days,1000-5000 GBP,0,0,1.0,8,1,2.0,VFF,0.0,0.0,0.0,1.0
Non-EU Europe,1-3 days,1000-5000 GBP,1,0,1.0,6,1,6.0,Holiday,0.0,0.0,1.0,0.0
EU,1-3 days,250-500 GBP,1,1,1.0,3,7,6.0,VFF,0.0,0.0,0.995945945945946,0.004054054054054054
EU,1-3 days,1000-5000 GBP,1,0,1.0,5,1,7.0,Holiday,0.10833333333333332,0.0,0.8916666666666668,0.0
UK,4-13 days,0-250 GBP,1,0,1.0,5,1,5.0,VFF,0.05,0.0,0.0,0.95
UK,1-3 days,250-500 GBP,0,0,1.0,5,5,4.0,VFF,0.15,0.0,0.0,0.85
EU,1-3 days,,0,0,5.0,7,4,2.0,Business or Work,0.42000000000000004,0.0,0.0,0.58
South America,1-3 months,500-1000 GBP,0,1,1.0,5,5,5.0,Holiday,0.0,0.0,0.25,0.75
South America,4-13 days,1000-5000 GBP,1,1,5.0,5,3,5.0,Holiday,0.15,0.0,0.6,0.25
EU,4-13 days,250-500 GBP,0,1,1.0,4,2,6.0,Holiday,0.0,0.0,0.4288095238095238,0.5711904761904761
UK,4-13 days,500-1000 GBP,0,0,1.0,5,3,5.0,VFF,0.0,0.0,0.0,1.0
EU,1-3 days,250-500 GBP,1,1,1.0,4,1,6.0,Holiday,0.0,0.0,0.8099891421214952,0.19001085787850494
EU,1-3 days,500-1000 GBP,2,1,1.0,5,7,5.0,Holiday,0.0,0.0,0.8444444444444444,0.15555555555555556
EU,4-13 days,0-250 GBP,0,0,1.0,6,3,4.0,VFF,0.03333333333333333,0.0738095238095238,0.04523809523809523,0.8476190476190476
North America,14-27 days,1000-5000 GBP,0,0,1.0,2,3,5.0,VFF,0.0,0.1,0.3,0.6
North America,4-13 days,1000-5000 GBP,1,0,1.0,8,7,6.0,Holiday,0.0,0.0,0.95,0.05
UK,14-27 days,250-500 GBP,0,0,1.0,7,7,1.0,VFF,0.0,0.0,0.05,0.95
UK,14-27 days,1000-5000 GBP,0,0,1.0,6,2,5.0,VFF,0.0,0.0,0.0125,0.9875
EU,1-3 days,1000-5000 GBP,1,0,1.0,5,4,2.0,Business or Work,1.0,0.0,0.0,0.0
North America,1-3 days,1000-5000 GBP,1,1,1.0,5,7,5.0,Holiday,0.10555555555555556,0.0,0.8777777777777779,0.016666666666666666
EU,1-3 days,0-250 GBP,0,1,1.0,7,7,5.0,VFF,0.0,0.0,0.23916666666666667,0.7608333333333334
North America,4-13 days,1000-5000 GBP,1,1,1.0,4,1,5.0,Holiday,0.0,0.0,1.0,0.0
EU,,250-500 GBP,0,0,5.0,8,4,4.0,Business or Work,0.35,0.0,0.45,0.2
Asia,14-27 days,1000-5000 GBP,0,0,1.0,7,4,5.0,VFF,0.0,0.0,0.05,0.95
North America,4-13 days,1000-5000 GBP,1,0,1.0,2,1,2.0,Holiday,0.1,0.0,0.9,0.0
EU,4-13 days,500-1000 GBP,2,0,1.0,6,1,7.0,VFF,0.0,0.0,0.6458333333333333,0.35416666666666663
UK,14-27 days,,0,0,5.0,5,5,6.0,VFF,0.0,0.0,0.15,0.85
EU,4-13 days,0-250 GBP,1,1,1.0,5,1,4.0,VFF,0.7,0.0,0.3,0.0
UK,4-13 days,1000-5000 GBP,0,0,1.0,8,2,4.0,VFF,0.05,0.0,0.0,0.95
North America,4-13 days,250-500 GBP,1,1,1.0,4,2,5.0,Holiday,0.09166666666666666,0.0,0.6883333333333332,0.21999999999999997
Asia,4-13 days,250-500 GBP,2,0,1.0,5,6,7.0,VFF,0.15,0.05,0.6,0.2
EU,4-13 days,250-500 GBP,0,0,1.0,2,4,3.0,VFF,0.0,0.0,0.05,0.95
EU,4-13 days,0-250 GBP,0,0,1.0,5,5,2.0,VFF,0.0,0.0,0.05,0.95
Africa,14-27 days,1000-5000 GBP,0,0,1.0,4,7,2.0,Holiday,0.05,0.0,0.0,0.95
EU,1-3 days,250-500 GBP,1,0,1.0,4,7,5.0,VFF,0.06464378965809171,0.0,0.7062048515938676,0.2291513587480407
North America,14-27 days,1000-5000 GBP,0,1,1.0,6,5,6.0,VFF,0.05,0.05,0.1,0.8
EU,4-13 days,0-250 GBP,0,1,1.0,6,7,3.0,VFF,0.0,0.0,0.0,1.0
EU,1-3 days,250-500 GBP,0,0,1.0,2,1,7.0,Holiday,0.0,0.0,0.2174175824175824,0.7825824175824176
UK,4-13 days,0-250 GBP,0,1,5.0,4,1,4.0,VFF,0.0,0.0,0.25,0.75
Asia,14-27 days,0-250 GBP,0,0,1.0,5,4,4.0,VFF,0.0,0.05,0.15,0.8
North America,4-13 days,,1,1,1.0,6,6,1.0,Business or Work,0.65,0.05,0.3,0.0
EU,1-3 days,500-1000 GBP,1,0,1.0,7,1,6.0,Holiday,0.1023430735930736,0.0,0.6475523088023087,0.25010461760461766
North America,4-13 days,1000-5000 GBP,1,0,1.0,5,3,3.0,Business or Work,0.1,0.0,0.2166666666666667,0.6833333333333333
EU,14-27 days,1000-5000 GBP,1,0,5.0,4,7,1.0,Holiday,0.1,0.0,0.7875,0.1125
North America,4-13 days,1000-5000 GBP,1,1,1.0,6,5,3.0,Business or Work,0.1,0.0,0.9,0.0
EU,1-3 days,250-500 GBP,1,1,1.0,4,3,2.0,Business or Work,0.1846031746031746,0.0,0.8153968253968256,0.0
Asia,4-13 days,1000-5000 GBP,0,0,1.0,6,2,7.0,Business or Work,0.05,0.0,0.45,0.5
EU,4-13 days,500-1000 GBP,1,0,5.0,6,7,1.0,Holiday,0.2,0.0,0.8,0.0
North America,4-13 days,0-250 GBP,0,0,1.0,7,6,7.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,500-1000 GBP,1,1,5.0,5,1,4.0,Holiday,0.4241666666666667,0.0,0.5758333333333333,0.0
Asia,3-6 months,,0,0,1.0,4,2,2.0,Business or Work,0.1,0.5,0.125,0.275
UK,1-3 months,0-250 GBP,0,0,1.0,7,6,3.0,VFF,0.0,0.0,0.0,1.0
UK,1-3 days,500-1000 GBP,0,1,1.0,5,4,2.0,VFF,0.05,0.0,0.21000000000000002,0.74
EU,1-3 days,250-500 GBP,1,0,1.0,7,1,6.0,Holiday,0.0,0.0,0.6413095238095237,0.3586904761904762
EU,1-3 days,0-250 GBP,1,1,1.0,8,1,6.0,VFF,0.05,0.0,0.7,0.25
EU,1-3 days,1000-5000 GBP,1,0,1.0,5,5,3.0,Holiday,1.0,0.0,0.0,0.0
EU,4-13 days,500-1000 GBP,1,1,1.0,6,2,6.0,Business or Work,0.0,0.0,0.8185714285714287,0.18142857142857144
EU,4-13 days,0-250 GBP,0,0,1.0,2,1,7.0,VFF,0.0,0.0,0.0,1.0
Asia,14-27 days,1000-5000 GBP,1,0,1.0,5,6,5.0,VFF,0.2,0.0,0.55,0.25
Asia,4-13 days,250-500 GBP,0,0,1.0,6,2,3.0,Holiday,0.0,0.0,0.05,0.95
EU,4-13 days,500-1000 GBP,0,1,1.0,4,2,5.0,Holiday,0.0,0.0,0.5916666666666666,0.4083333333333333
EU,1-3 days,500-1000 GBP,1,1,5.0,5,2,7.0,VFF,0.0,0.0,1.0,0.0
EU,1-3 days,250-500 GBP,2,0,1.0,6,5,3.0,Holiday,0.15,0.0,0.75,0.1
North America,1-3 days,250-500 GBP,0,0,5.0,2,2,1.0,Holiday,0.05,0.1,0.45,0.4
North America,4-13 days,1000-5000 GBP,1,0,1.0,6,7,3.0,Business or Work,0.27083333333333337,0.0,0.7291666666666667,0.0
EU,1-3 days,250-500 GBP,1,0,1.0,7,1,6.0,Holiday,0.0,0.0,0.6413095238095237,0.3586904761904762
EU,4-13 days,500-1000 GBP,2,0,1.0,4,7,3.0,Holiday,0.1375,0.0,0.8625,0.0
EU,1-3 days,500-1000 GBP,1,1,5.0,6,5,3.0,Holiday,0.5428571428571429,0.0,0.4375,0.019642857142857142
EU,1-3 days,500-1000 GBP,1,1,1.0,6,7,6.0,Holiday,0.09801460808115472,0.0,0.587500817699448,0.3144845742193972
EU,4-13 days,0-250 GBP,0,0,1.0,8,6,6.0,VFF,0.05,0.0,0.0,0.95
EU,1-3 days,500-1000 GBP,1,0,1.0,2,2,7.0,Holiday,0.3932142857142858,0.0,0.6067857142857143,0.0
EU,4-13 days,0-250 GBP,0,0,1.0,7,2,6.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,250-500 GBP,2,1,1.0,6,1,5.0,Holiday,0.05,0.05,0.8875,0.0125
Africa,4-13 days,1000-5000 GBP,1,1,1.0,4,3,4.0,VFF,0.501984126984127,0.0,0.39801587301587305,0.1
EU,4-13 days,0-250 GBP,0,0,1.0,7,5,6.0,VFF,0.0,0.0,0.0,1.0
Asia,4-13 days,1000-5000 GBP,1,0,1.0,5,5,6.0,VFF,0.44499999999999995,0.0,0.555,0.0
EU,1-3 days,0-250 GBP,1,0,5.0,6,7,6.0,Holiday,0.025,0.0,0.875,0.1
EU,1-3 days,0-250 GBP,0,0,1.0,4,7,5.0,VFF,0.09523137214111774,0.0,0.14483945570515094,0.7599291721537315
EU,1-3 days,250-500 GBP,0,1,1.0,4,2,7.0,VFF,0.0,0.0,0.05,0.95
UK,14-27 days,1000-5000 GBP,0,1,1.0,8,3,7.0,VFF,0.1,0.0,0.0,0.9
UK,14-27 days,500-1000 GBP,0,0,1.0,4,1,2.0,VFF,0.0,0.0,0.35,0.65
EU,,,0,0,5.0,5,6,6.0,Business or Work,1.0,0.0,0.0,0.0
EU,4-13 days,1000-5000 GBP,0,1,5.0,4,2,2.0,Business or Work,0.25,0.0,0.15,0.6
EU,4-13 days,0-250 GBP,1,0,1.0,5,1,5.0,Holiday,0.5449999999999999,0.0,0.40499999999999997,0.05
EU,14-27 days,1000-5000 GBP,1,0,5.0,5,4,5.0,Holiday,0.2785714285714286,0.1,0.5714285714285714,0.05
EU,4-13 days,0-250 GBP,0,0,5.0,5,5,7.0,VFF,0.7333333333333333,0.0,0.175,0.09166666666666666
EU,,0-250 GBP,1,0,1.0,5,7,7.0,VFF,0.0,0.0,0.8327380952380953,0.16726190476190472
EU,1-3 days,0-250 GBP,0,1,5.0,4,7,5.0,VFF,0.0,0.0,0.37670634920634916,0.6232936507936507
Asia,4-13 days,1000-5000 GBP,1,1,1.0,5,7,5.0,Holiday,0.36928571428571433,0.0,0.5807142857142857,0.05
EU,4-13 days,500-1000 GBP,1,0,1.0,6,5,7.0,Holiday,0.05714285714285714,0.0,0.9428571428571427,0.0
EU,1-3 days,250-500 GBP,1,1,1.0,2,1,6.0,Holiday,0.0,0.16776695526695523,0.8322330447330447,0.0
UK,14-27 days,500-1000 GBP,0,0,1.0,5,6,7.0,VFF,0.0,0.0,0.0,1.0
UK,14-27 days,250-500 GBP,0,0,1.0,4,4,5.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,500-1000 GBP,1,0,5.0,6,5,1.0,Holiday,0.6,0.0,0.4,0.0
EU,,0-250 GBP,1,0,1.0,4,5,5.0,VFF,0.5272546727867934,0.0,0.38169074668881164,0.09105458052439475
EU,1-3 days,250-500 GBP,1,0,1.0,6,4,3.0,Business or Work,0.6909861303127556,0.08534395343218873,0.18924350932864864,0.03442640692640692
North America,4-13 days,more than 5000 GBP,1,1,1.0,8,5,4.0,Holiday,0.39166666666666666,0.0,0.4833333333333334,0.125
EU,1-3 days,250-500 GBP,1,0,1.0,5,4,2.0,Holiday,0.6837874625374626,0.0,0.2145272782772783,0.10168525918525917
EU,4-13 days,0-250 GBP,0,0,5.0,2,3,7.0,Holiday,0.0,0.0,0.67,0.32999999999999996
EU,4-13 days,0-250 GBP,0,0,1.0,7,6,7.0,VFF,0.05,0.0,0.0,0.95
EU,1-3 days,250-500 GBP,1,1,5.0,4,4,2.0,Holiday,0.06666666666666667,0.0,0.4583333333333333,0.475
UK,4-13 days,500-1000 GBP,0,0,1.0,7,4,5.0,VFF,0.0,0.0,0.0,1.0
North America,4-13 days,1000-5000 GBP,1,0,1.0,6,6,6.0,Holiday,0.30545634920634923,0.0,0.6945436507936508,0.0
South America,1-3 days,0-250 GBP,0,1,1.0,5,2,1.0,Holiday,0.09583333333333333,0.0,0.7541666666666667,0.15
UK,1-3 days,500-1000 GBP,1,1,1.0,5,5,4.0,Business or Work,0.9,0.0,0.1,0.0
EU,1-3 days,500-1000 GBP,1,0,1.0,2,7,6.0,Holiday,0.0,0.0,0.7314285714285714,0.26857142857142857
UK,1-3 days,0-250 GBP,0,0,1.0,8,1,6.0,VFF,0.0,0.0,0.0,1.0
Asia,4-13 days,250-500 GBP,1,1,5.0,6,5,1.0,Holiday,0.1,0.0,0.8,0.1
North America,4-13 days,1000-5000 GBP,1,1,1.0,7,5,2.0,Holiday,0.8042284104784105,0.0,0.19577158952158952,0.0
EU,1-3 days,0-250 GBP,1,1,1.0,4,1,7.0,Holiday,0.0,0.0,1.0,0.0
Africa,1-3 months,0-250 GBP,0,1,1.0,5,7,1.0,Holiday,0.35,0.05,0.1,0.5
UK,1-3 days,0-250 GBP,0,0,1.0,6,2,7.0,VFF,0.0,0.0,0.0,1.0
EU,1-3 days,500-1000 GBP,1,1,1.0,4,4,3.0,Business or Work,0.9116025641025642,0.0,0.0883974358974359,0.0
EU,4-13 days,0-250 GBP,0,0,1.0,2,1,5.0,VFF,0.0,0.0,0.0,1.0
"Australia, NZ and Oceania",1-3 days,500-1000 GBP,1,1,1.0,8,4,2.0,Holiday,0.1,0.0,0.5208333333333333,0.37916666666666665
North America,4-13 days,250-500 GBP,1,1,1.0,7,1,3.0,VFF,0.02,0.0,0.43,0.55
UK,14-27 days,0-250 GBP,0,0,1.0,5,6,7.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,0-250 GBP,0,0,1.0,8,5,6.0,VFF,0.0,0.0,0.0,1.0
UK,,0-250 GBP,1,0,1.0,6,7,7.0,VFF,0.0,0.0,0.1375,0.8625000000000002
North America,4-13 days,1000-5000 GBP,2,0,1.0,4,7,6.0,VFF,0.0,0.0,0.7166666666666666,0.2833333333333333
"Australia, NZ and Oceania",4-13 days,500-1000 GBP,0,0,1.0,7,2,7.0,VFF,0.0,0.0,0.30166666666666664,0.6983333333333334
EU,1-3 days,0-250 GBP,0,0,5.0,4,1,6.0,VFF,0.24452380952380953,0.0,0.1806547619047619,0.5748214285714285
UK,1-3 days,0-250 GBP,1,0,1.0,7,5,3.0,VFF,0.4,0.2,0.0,0.4
EU,1-3 days,0-250 GBP,0,0,1.0,6,3,1.0,VFF,0.0,0.0,0.25357142857142856,0.7464285714285714
North America,4-13 days,1000-5000 GBP,1,0,1.0,4,6,6.0,Holiday,0.0,0.0,0.95,0.05
EU,1-3 days,1000-5000 GBP,1,0,1.0,5,1,6.0,Holiday,0.0,0.0,0.8140476190476191,0.18595238095238095
EU,4-13 days,0-250 GBP,0,0,1.0,2,7,3.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,500-1000 GBP,2,0,1.0,6,2,5.0,Holiday,0.0,0.0,0.9607142857142857,0.039285714285714285
UK,14-27 days,250-500 GBP,0,0,1.0,5,6,7.0,VFF,0.0,0.0,0.0,1.0
"Australia, NZ and Oceania",4-13 days,250-500 GBP,0,1,5.0,4,2,4.0,VFF,0.0,0.0,0.18333333333333332,0.8166666666666667
EU,4-13 days,250-500 GBP,2,1,5.0,4,4,6.0,Holiday,0.0,0.05,0.95,0.0
UK,4-13 days,0-250 GBP,0,0,1.0,5,5,1.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,0-250 GBP,0,0,1.0,8,2,4.0,VFF,0.0,0.0,0.0,1.0
North America,1-3 days,500-1000 GBP,1,1,1.0,5,4,3.0,Business or Work,0.34767857142857145,0.0,0.6523214285714285,0.0
EU,,0-250 GBP,1,0,1.0,4,7,7.0,Holiday,0.21446428571428572,0.0,0.3981135531135531,0.38742216117216116
Asia,1-3 months,1000-5000 GBP,0,1,1.0,2,7,2.0,VFF,0.0,0.575,0.225,0.2
EU,4-13 days,500-1000 GBP,0,0,1.0,4,7,7.0,Holiday,0.0,0.0,0.0,1.0
UK,4-13 days,0-250 GBP,0,0,1.0,2,1,4.0,VFF,0.039285714285714285,0.0,0.0,0.9607142857142857
North America,4-13 days,1000-5000 GBP,1,1,1.0,4,4,1.0,Business or Work,0.4166666666666667,0.0,0.5833333333333334,0.0
Non-EU Europe,4-13 days,1000-5000 GBP,1,0,1.0,4,7,4.0,Business or Work,0.6866666666666666,0.0,0.22666666666666666,0.08666666666666667
"Australia, NZ and Oceania",14-27 days,500-1000 GBP,1,0,1.0,6,1,6.0,VFF,0.05,0.15,0.3,0.5
EU,1-3 days,,0,0,5.0,6,5,3.0,Business or Work,0.9,0.0,0.0,0.1
UK,4-13 days,0-250 GBP,0,0,1.0,6,1,1.0,VFF,0.11047619047619048,0.0,0.0,0.8895238095238096
