Broad_Nationality_encoded,Stay_Category_encoded,Spend_Category_encoded,accom_type,London_or_out,Flow,Age,DayOfWeek,TripStartDay,Broad_Purpose_encoded,Business or Work,Education and Other,Holiday,VFF
EU,1-3 days,250-500 GBP,1,0,1.0,5,4,2,Business or Work,0.5090205627705628,0.0,0.0,0.4909794372294371
North America,4-13 days,0-250 GBP,0,1,1.0,6,1,6,VFF,0.05,0.0,0.05,0.9
Africa,4-13 days,1000-5000 GBP,1,1,1.0,4,3,5,VFF,0.8625,0.0,0.1375,0.0
North America,4-13 days,500-1000 GBP,1,1,1.0,5,3,4,Holiday,0.0,0.0,1.0,0.0
Asia,4-13 days,250-500 GBP,1,1,1.0,7,2,5,VFF,0.0,0.2458333333333333,0.6541666666666666,0.1
South America,4-13 days,1000-5000 GBP,1,0,1.0,4,4,1,Education and Other,0.24333333333333335,0.0,0.5233333333333333,0.2333333333333333
Non-EU Europe,1-3 days,250-500 GBP,1,0,1.0,5,5,4,Holiday,0.8983968145381189,0.0,0.10160318546188112,0.0
EU,4-13 days,250-500 GBP,0,0,1.0,4,2,7,VFF,0.0,0.0,0.03666666666666667,0.9633333333333335
Asia,14-27 days,250-500 GBP,0,0,1.0,8,2,1,VFF,0.0,0.0,0.15,0.85
EU,4-13 days,0-250 GBP,0,0,1.0,6,1,6,VFF,0.0,0.0,0.02121212121212121,0.9787878787878788
UK,4-13 days,1000-5000 GBP,0,0,1.0,6,5,4,VFF,0.0,0.0,0.05,0.95
North America,14-27 days,500-1000 GBP,0,0,1.0,6,3,3,VFF,0.05,0.0,0.125,0.825
EU,4-13 days,0-250 GBP,1,0,5.0,4,6,3,Holiday,0.05,0.0,0.3,0.65
Asia,1-3 days,1000-5000 GBP,1,1,1.0,5,7,6,Holiday,0.4416666666666666,0.0,0.10833333333333332,0.45
Asia,1-3 days,500-1000 GBP,0,0,1.0,4,6,4,VFF,0.05,0.55,0.16666666666666666,0.2333333333333333
EU,1-3 days,0-250 GBP,0,1,5.0,4,7,5,Business or Work,0.2833333333333333,0.0,0.025,0.6916666666666667
EU,4-13 days,250-500 GBP,2,0,1.0,6,4,6,Holiday,0.0,0.05,0.9,0.05
EU,1-3 days,250-500 GBP,1,1,1.0,6,1,6,Holiday,0.34464285714285714,0.0,0.6553571428571431,0.0
EU,4-13 days,0-250 GBP,0,0,1.0,7,3,7,VFF,0.0,0.0,0.5741666666666666,0.4258333333333333
EU,,0-250 GBP,1,1,1.0,6,3,3,Business or Work,1.0,0.0,0.0,0.0
North America,4-13 days,1000-5000 GBP,1,1,1.0,5,3,4,Holiday,0.744047619047619,0.0,0.255952380952381,0.0
North America,4-13 days,500-1000 GBP,1,0,1.0,8,3,1,Holiday,0.0,0.0,0.9,0.1
EU,,250-500 GBP,1,1,1.0,5,5,5,Business or Work,1.0,0.0,0.0,0.0
EU,4-13 days,0-250 GBP,0,1,1.0,2,4,1,VFF,0.0,0.0,0.8,0.2
UK,4-13 days,0-250 GBP,0,0,1.0,6,3,7,VFF,0.0,0.0,0.0,1.0
South America,4-13 days,1000-5000 GBP,1,0,1.0,2,1,2,Business or Work,0.25,0.25,0.4,0.1
Asia,1-3 months,1000-5000 GBP,1,0,1.0,4,4,5,Education and Other,0.15,0.15,0.55,0.15
"Australia, NZ and Oceania",1-3 days,250-500 GBP,1,0,1.0,2,3,1,Holiday,0.07916666666666666,0.0,0.8227380952380952,0.0980952380952381
Asia,4-13 days,1000-5000 GBP,1,1,1.0,7,6,2,Business or Work,0.7666666666666666,0.05,0.18333333333333332,0.0
EU,4-13 days,1000-5000 GBP,0,0,1.0,8,2,6,VFF,0.05,0.0,0.25,0.7
"Australia, NZ and Oceania",4-13 days,1000-5000 GBP,0,0,1.0,4,5,6,VFF,0.03333333333333333,0.0,0.65,0.31666666666666665
EU,1-3 days,0-250 GBP,0,0,5.0,4,2,7,VFF,0.6705292624042626,0.08881465756465758,0.0,0.2406560800310801
EU,4-13 days,250-500 GBP,1,1,1.0,2,5,2,Holiday,0.0,0.0,1.0,0.0
UK,4-13 days,250-500 GBP,0,1,1.0,4,6,1,VFF,0.0,0.0,0.1766666666666667,0.8233333333333335
Non-EU Europe,14-27 days,500-1000 GBP,0,0,1.0,2,3,2,VFF,0.05,0.2,0.2125,0.5375
EU,1-3 days,500-1000 GBP,1,0,1.0,6,1,7,Holiday,0.0,0.0,0.6313979076479076,0.3686020923520923
EU,1-3 days,0-250 GBP,0,0,5.0,6,4,3,Business or Work,0.8578479926506242,0.0,0.0793546731046731,0.06279733424470266
EU,1-3 months,1000-5000 GBP,0,0,1.0,3,7,2,Education and Other,0.0,1.0,0.0,0.0
EU,1-3 days,1000-5000 GBP,1,0,1.0,5,1,6,Holiday,0.15589285714285714,0.0,0.44761904761904764,0.39648809523809525
EU,4-13 days,0-250 GBP,0,1,1.0,4,3,7,VFF,0.0,0.0,0.007142857142857143,0.9928571428571429
EU,4-13 days,0-250 GBP,0,0,5.0,5,2,6,Business or Work,0.4125,0.0,0.05,0.5375
Asia,14-27 days,1000-5000 GBP,1,0,1.0,4,7,4,Holiday,0.48,0.0,0.27,0.25
UK,1-3 days,250-500 GBP,1,0,1.0,6,1,7,VFF,0.05,0.0,0.25,0.7
North America,4-13 days,1000-5000 GBP,1,1,1.0,5,1,5,Business or Work,0.6416666666666667,0.0,0.35833333333333334,0.0
EU,1-3 days,0-250 GBP,0,0,1.0,7,3,1,VFF,0.0,0.0,0.6425,0.35750000000000004
Asia,,0-250 GBP,1,0,1.0,8,3,3,Education and Other,0.2,0.0,0.6666666666666667,0.13333333333333333
EU,14-27 days,250-500 GBP,0,0,1.0,4,7,1,VFF,0.0125,0.016666666666666666,0.0,0.9708333333333332
EU,1-3 days,500-1000 GBP,0,0,1.0,4,7,5,Business or Work,0.0,0.0,0.2,0.8
Asia,3-6 months,more than 5000 GBP,0,0,1.0,2,3,7,Education and Other,0.0,0.65,0.15,0.2
North America,14-27 days,250-500 GBP,1,0,1.0,8,3,3,VFF,0.1,0.06666666666666667,0.675,0.15833333333333333
EU,,,0,0,5.0,4,5,5,Business or Work,1.0,0.0,0.0,0.0
Africa,14-27 days,1000-5000 GBP,0,0,1.0,7,4,1,VFF,0.0,0.0,0.2375,0.7625
North America,4-13 days,500-1000 GBP,2,1,1.0,6,3,1,Holiday,0.05,0.0,0.95,0.0
South America,14-27 days,1000-5000 GBP,1,0,1.0,4,6,2,Holiday,0.5325,0.0,0.26749999999999996,0.2
UK,4-13 days,,0,0,5.0,8,1,2,VFF,0.0,0.1,0.05,0.85
EU,4-13 days,500-1000 GBP,0,1,1.0,6,6,2,VFF,0.35,0.0,0.25,0.4
EU,4-13 days,0-250 GBP,0,0,5.0,4,4,7,Business or Work,0.35416666666666663,0.0,0.05,0.5958333333333333
UK,4-13 days,0-250 GBP,0,0,1.0,6,3,6,VFF,0.0,0.0,0.034999999999999996,0.9650000000000001
Asia,4-13 days,500-1000 GBP,1,1,1.0,5,2,3,Holiday,0.2708333333333333,0.0,0.7291666666666666,0.0
EU,1-3 days,0-250 GBP,0,0,5.0,4,6,5,Business or Work,1.0,0.0,0.0,0.0
EU,1-3 days,0-250 GBP,1,0,1.0,6,2,7,Business or Work,0.20856698856698852,0.0,0.690831807081807,0.10060120435120434
EU,1-3 days,250-500 GBP,0,0,1.0,4,1,7,VFF,0.0,0.0,0.334226740107158,0.6657732598928419
UK,4-13 days,0-250 GBP,0,0,1.0,2,2,6,VFF,0.0,0.0,0.0,1.0
North America,1-3 days,1000-5000 GBP,1,1,1.0,7,7,6,Business or Work,0.7,0.0,0.3,0.0
EU,4-13 days,250-500 GBP,1,1,1.0,4,3,4,Holiday,0.05,0.0,0.9,0.05
EU,1-3 days,500-1000 GBP,1,1,1.0,7,6,4,Holiday,0.05,0.0,0.95,0.0
EU,4-13 days,1000-5000 GBP,1,0,5.0,4,4,2,Holiday,0.05,0.0,0.8,0.15
"Australia, NZ and Oceania",14-27 days,500-1000 GBP,0,0,1.0,4,4,5,VFF,0.0,0.0,0.05,0.95
UK,1-3 months,1000-5000 GBP,0,0,1.0,7,4,5,VFF,0.0,0.0,0.0,1.0
EU,1-3 days,0-250 GBP,1,0,1.0,6,5,4,Business or Work,1.0,0.0,0.0,0.0
EU,1-3 days,250-500 GBP,1,1,1.0,3,6,4,Holiday,0.0,0.0,1.0,0.0
Asia,,0-250 GBP,1,0,1.0,4,4,4,Business or Work,0.7098971861471861,0.0,0.29010281385281383,0.0
EU,1-3 days,0-250 GBP,0,0,5.0,4,2,1,VFF,0.806424963924964,0.0,0.0,0.19357503607503607
Asia,4-13 days,250-500 GBP,1,0,1.0,8,5,7,Holiday,0.2,0.0,0.65,0.15
EU,1-3 days,250-500 GBP,0,0,1.0,3,5,4,Holiday,0.15,0.05,0.5916666666666667,0.20833333333333331
EU,6-12 months,more than 5000 GBP,0,0,1.0,2,5,5,VFF,0.1,0.65,0.05,0.2
Asia,1-3 days,250-500 GBP,1,0,1.0,7,4,3,Business or Work,0.8625,0.0,0.0875,0.05
UK,4-13 days,0-250 GBP,0,0,5.0,7,7,3,VFF,0.0,0.0,0.3,0.7
Asia,4-13 days,500-1000 GBP,1,0,1.0,7,2,2,Holiday,0.125,0.0,0.825,0.05
EU,4-13 days,1000-5000 GBP,1,1,1.0,5,7,3,Holiday,0.4291666666666667,0.0,0.5708333333333333,0.0
EU,1-3 days,0-250 GBP,0,0,1.0,2,1,7,VFF,0.0,0.0,0.19705631812568308,0.802943681874317
Asia,1-3 months,500-1000 GBP,0,1,1.0,2,6,1,VFF,0.0,0.175,0.05,0.775
UK,14-27 days,1000-5000 GBP,0,0,1.0,8,3,4,VFF,0.0,0.0,0.0,1.0
North America,14-27 days,500-1000 GBP,0,0,1.0,8,5,5,VFF,0.0,0.0,0.0,1.0
"Australia, NZ and Oceania",4-13 days,250-500 GBP,0,0,1.0,8,5,4,Holiday,0.0,0.0,0.10833333333333332,0.8916666666666668
EU,4-13 days,0-250 GBP,0,0,1.0,6,7,7,Holiday,0.0,0.0,0.0,1.0
North America,1-3 days,250-500 GBP,0,0,5.0,6,4,3,Holiday,0.6,0.05,0.3,0.05
EU,4-13 days,0-250 GBP,1,1,5.0,7,6,3,Holiday,0.06666666666666667,0.0,0.9333333333333333,0.0
Africa,4-13 days,250-500 GBP,0,0,1.0,5,4,1,Business or Work,0.0,0.0,0.1,0.9
EU,,250-500 GBP,1,1,1.0,5,6,6,Business or Work,1.0,0.0,0.0,0.0
UK,4-13 days,500-1000 GBP,1,0,1.0,4,2,3,VFF,0.65,0.05,0.21428571428571427,0.08571428571428572
North America,1-3 days,0-250 GBP,1,0,1.0,4,1,6,Holiday,0.15,0.0,0.6,0.25
EU,1-3 days,,0,0,5.0,6,5,4,Business or Work,1.0,0.0,0.0,0.0
EU,4-13 days,500-1000 GBP,0,0,1.0,7,3,5,VFF,0.0,0.0,0.1,0.9
UK,4-13 days,0-250 GBP,0,0,1.0,4,3,7,VFF,0.0,0.0,0.10626984126984126,0.8937301587301588
EU,1-3 days,0-250 GBP,0,0,1.0,5,4,2,VFF,0.17388888888888884,0.0,0.0,0.8261111111111111
North America,4-13 days,0-250 GBP,1,0,1.0,7,3,7,Business or Work,0.43083333333333335,0.0,0.26916666666666667,0.3
EU,4-13 days,more than 5000 GBP,1,1,1.0,8,3,5,Holiday,0.35,0.0,0.65,0.0
"Australia, NZ and Oceania",4-13 days,500-1000 GBP,0,0,1.0,4,2,7,VFF,0.05,0.0,0.15,0.8
Asia,4-13 days,1000-5000 GBP,1,1,1.0,6,1,1,Holiday,0.12916666666666668,0.0,0.8208333333333332,0.05
EU,4-13 days,250-500 GBP,0,0,1.0,5,6,2,VFF,0.39166666666666666,0.0,0.5583333333333333,0.05
Africa,4-13 days,0-250 GBP,0,0,1.0,6,6,7,Education and Other,0.0,0.0,0.05,0.95
EU,1-3 days,500-1000 GBP,0,1,1.0,2,1,6,VFF,0.05,0.0,0.9,0.05
"Australia, NZ and Oceania",4-13 days,more than 5000 GBP,1,1,1.0,6,5,1,Holiday,0.2,0.0,0.8,0.0
Asia,,0-250 GBP,1,0,1.0,4,2,2,Holiday,0.85,0.0,0.15,0.0
Asia,1-3 days,500-1000 GBP,1,0,1.0,5,5,3,Business or Work,0.95,0.0,0.05,0.0
EU,14-27 days,250-500 GBP,2,0,5.0,5,1,1,Holiday,0.05,0.05,0.85,0.05
"Australia, NZ and Oceania",4-13 days,1000-5000 GBP,1,1,1.0,7,3,5,VFF,0.05,0.0,0.95,0.0
EU,4-13 days,0-250 GBP,1,1,5.0,5,5,1,Holiday,0.2,0.2,0.6,0.0
EU,4-13 days,0-250 GBP,0,0,1.0,8,2,3,VFF,0.0,0.0,0.0,1.0
North America,1-3 days,250-500 GBP,1,0,1.0,6,5,3,Holiday,0.6125,0.0,0.3875,0.0
Asia,4-13 days,more than 5000 GBP,0,1,1.0,4,5,1,VFF,0.0,0.1,0.35,0.55
EU,1-3 days,250-500 GBP,1,1,1.0,7,2,1,Holiday,0.3194444444444445,0.0,0.5266666666666667,0.15388888888888888
Asia,14-27 days,1000-5000 GBP,1,0,1.0,4,7,1,Business or Work,0.85,0.0,0.05,0.1
EU,,0-250 GBP,0,0,5.0,5,1,1,Holiday,0.6316666666666668,0.21166666666666667,0.15666666666666668,0.0
North America,4-13 days,1000-5000 GBP,2,0,1.0,6,6,3,Business or Work,0.13333333333333333,0.0,0.7166666666666667,0.15
North America,1-3 days,1000-5000 GBP,2,1,1.0,6,4,3,Holiday,0.33333333333333337,0.0,0.26666666666666666,0.4
Non-EU Europe,4-13 days,0-250 GBP,0,0,1.0,8,3,7,VFF,0.0,0.0,0.0,1.0
Asia,4-13 days,250-500 GBP,1,1,1.0,5,1,1,Holiday,0.0875,0.0,0.9125,0.0
UK,4-13 days,500-1000 GBP,0,0,1.0,5,2,6,Holiday,0.0,0.05,0.0,0.95
UK,4-13 days,250-500 GBP,0,1,5.0,5,3,1,VFF,0.1,0.0,0.2,0.7
North America,1-3 days,0-250 GBP,0,0,1.0,6,6,4,VFF,0.05,0.0,0.0625,0.8875
EU,1-3 days,250-500 GBP,2,0,1.0,6,7,5,Holiday,0.32916666666666666,0.0,0.6458333333333333,0.025
"Australia, NZ and Oceania",4-13 days,1000-5000 GBP,0,0,1.0,6,2,3,Holiday,0.0,0.0,0.15,0.85
"Australia, NZ and Oceania",,0-250 GBP,1,1,1.0,6,2,2,Holiday,0.7541666666666667,0.0,0.2458333333333333,0.0
Asia,4-13 days,0-250 GBP,0,0,1.0,5,2,3,Holiday,0.0,0.0,0.05,0.95
EU,1-3 days,1000-5000 GBP,1,0,1.0,7,2,7,Holiday,0.0,0.0,0.7,0.3
EU,1-3 days,0-250 GBP,1,0,1.0,7,1,7,Business or Work,0.0,0.0,0.39214285714285707,0.6078571428571429
EU,1-3 days,0-250 GBP,0,0,1.0,2,2,1,VFF,0.0,0.0,0.24720418470418468,0.7527958152958154
EU,1-3 days,250-500 GBP,0,0,1.0,4,7,6,VFF,0.0,0.025,0.44861111111111107,0.5263888888888889
EU,4-13 days,500-1000 GBP,1,1,1.0,6,7,4,Holiday,0.1,0.0,0.9,0.0
UK,14-27 days,,0,0,5.0,8,2,3,VFF,0.0,0.0,0.0,1.0
EU,1-3 days,0-250 GBP,1,0,1.0,5,4,2,Holiday,0.938095238095238,0.0,0.06190476190476191,0.0
Asia,4-13 days,1000-5000 GBP,0,1,1.0,6,5,3,VFF,0.1,0.0,0.3,0.6
EU,1-3 days,250-500 GBP,0,1,1.0,2,1,7,Holiday,0.0,0.0,0.7321428571428571,0.26785714285714285
UK,14-27 days,0-250 GBP,0,0,1.0,5,3,5,VFF,0.08571428571428572,0.0,0.05,0.8642857142857142
Non-EU Europe,14-27 days,250-500 GBP,0,0,1.0,2,5,6,Education and Other,0.0,0.05,0.02,0.93
"Australia, NZ and Oceania",14-27 days,500-1000 GBP,0,0,1.0,4,2,6,VFF,0.1,0.0,0.0,0.9
Asia,4-13 days,1000-5000 GBP,1,1,1.0,8,6,4,Holiday,0.05,0.0,0.875,0.075
Not disclosed,4-13 days,1000-5000 GBP,1,0,1.0,4,7,1,Holiday,0.19095238095238098,0.0,0.809047619047619,0.0
EU,4-13 days,250-500 GBP,0,1,1.0,5,5,7,VFF,0.05,0.0,0.1,0.85
Africa,14-27 days,1000-5000 GBP,0,0,1.0,8,1,1,VFF,0.0,0.0,0.45,0.55
Non-EU Europe,4-13 days,0-250 GBP,0,0,1.0,4,1,3,VFF,0.0,0.0,0.09261904761904763,0.9073809523809524
North America,4-13 days,500-1000 GBP,0,0,1.0,6,6,2,VFF,0.4,0.075,0.225,0.3
Asia,4-13 days,1000-5000 GBP,1,0,1.0,6,5,1,Business or Work,0.025,0.0,0.975,0.0
Non-EU Europe,1-3 days,250-500 GBP,1,1,1.0,6,6,4,Business or Work,0.5657738095238096,0.0,0.4342261904761905,0.0
Asia,1-3 days,500-1000 GBP,0,1,5.0,6,3,1,Holiday,0.2,0.0,0.65,0.15
UK,1-3 days,1000-5000 GBP,0,0,1.0,7,7,5,Holiday,0.0,0.05,0.25,0.7
UK,4-13 days,250-500 GBP,1,1,1.0,7,1,7,VFF,0.25,0.0,0.2,0.55
South America,1-3 days,0-250 GBP,1,1,1.0,5,3,2,Holiday,0.05,0.0,0.95,0.0
"Australia, NZ and Oceania",4-13 days,500-1000 GBP,1,1,1.0,6,3,5,Holiday,0.0,0.0,0.95,0.05
EU,,250-500 GBP,1,1,1.0,5,3,3,Business or Work,1.0,0.0,0.0,0.0
EU,4-13 days,0-250 GBP,0,0,1.0,2,7,4,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,500-1000 GBP,1,1,1.0,2,6,3,Holiday,0.1625,0.05,0.7875,0.0
EU,1-3 days,0-250 GBP,1,0,1.0,6,6,4,Business or Work,0.8758342352092352,0.0,0.1241657647907648,0.0
Non-EU Europe,4-13 days,1000-5000 GBP,1,0,1.0,8,2,6,Holiday,0.0,0.0,0.7,0.3
EU,1-3 days,,0,0,5.0,4,5,4,Business or Work,1.0,0.0,0.0,0.0
North America,4-13 days,500-1000 GBP,0,0,1.0,8,7,5,Holiday,0.0,0.0,0.16666666666666669,0.8333333333333333
EU,,250-500 GBP,1,0,1.0,5,3,3,Business or Work,1.0,0.0,0.0,0.0
EU,4-13 days,0-250 GBP,0,1,5.0,6,7,1,Holiday,0.375,0.0,0.375,0.25
UK,,0-250 GBP,1,1,1.0,4,4,4,VFF,0.675,0.05,0.225,0.05
Asia,4-13 days,250-500 GBP,0,0,1.0,8,3,4,VFF,0.05,0.047619047619047616,0.2,0.7023809523809523
EU,4-13 days,0-250 GBP,1,1,5.0,4,1,3,Holiday,0.45,0.05,0.5,0.0
North America,14-27 days,1000-5000 GBP,2,1,1.0,7,1,2,Holiday,0.17857142857142855,0.0,0.7214285714285714,0.1
North America,4-13 days,500-1000 GBP,1,0,1.0,6,5,6,Holiday,0.0,0.0,0.95,0.05
"Australia, NZ and Oceania",14-27 days,500-1000 GBP,0,0,1.0,7,4,5,VFF,0.0,0.0,0.7,0.3
EU,4-13 days,1000-5000 GBP,1,1,1.0,4,2,6,Holiday,0.05,0.0,0.9,0.05
Non-EU Europe,1-3 days,250-500 GBP,1,0,1.0,8,3,2,VFF,0.11428571428571428,0.08928571428571427,0.6,0.19642857142857145
UK,,250-500 GBP,0,0,5.0,4,4,4,Business or Work,0.3833333333333333,0.15,0.15,0.31666666666666665
North America,4-13 days,250-500 GBP,0,0,1.0,4,2,5,VFF,0.0,0.05,0.1,0.85
EU,,0-250 GBP,0,0,5.0,5,3,3,VFF,0.7128723155929036,0.0,0.28712768440709613,0.0
Asia,4-13 days,500-1000 GBP,1,1,1.0,5,6,2,Business or Work,0.6241666666666668,0.0,0.37583333333333335,0.0
Asia,14-27 days,1000-5000 GBP,0,1,1.0,4,2,1,Holiday,0.2,0.0,0.0,0.8
EU,1-3 days,250-500 GBP,2,0,1.0,7,1,6,Holiday,0.0,0.0125,0.98125,0.00625
EU,4-13 days,500-1000 GBP,1,1,5.0,6,7,4,Holiday,0.25,0.0,0.75,0.0
EU,1-3 days,250-500 GBP,1,0,1.0,4,2,1,Holiday,0.09974206349206349,0.0,0.9002579365079366,0.0
North America,4-13 days,250-500 GBP,0,0,1.0,3,5,4,VFF,0.0,0.05,0.35,0.6
EU,1-3 days,0-250 GBP,0,1,5.0,6,3,2,Business or Work,0.7036363636363636,0.0,0.1,0.19636363636363638
EU,4-13 days,250-500 GBP,1,0,1.0,8,4,5,VFF,0.0,0.0,0.925,0.075
North America,1-3 months,1000-5000 GBP,1,1,1.0,6,5,6,Holiday,0.4,0.05,0.15,0.4
EU,1-3 days,500-1000 GBP,1,0,1.0,5,5,4,Business or Work,1.0,0.0,0.0,0.0
UK,14-27 days,,0,0,1.0,7,1,2,Business or Work,0.05,0.0,0.0,0.95
Africa,14-27 days,250-500 GBP,0,0,1.0,8,6,3,VFF,0.05,0.0,0.2166666666666667,0.7333333333333334
North America,4-13 days,250-500 GBP,0,0,1.0,5,3,4,VFF,0.45,0.05,0.12666666666666665,0.3733333333333333
Asia,4-13 days,250-500 GBP,1,1,1.0,5,1,3,VFF,0.525,0.0,0.425,0.05
Non-EU Europe,1-3 days,0-250 GBP,1,0,1.0,2,4,2,Holiday,0.5975,0.175,0.22749999999999998,0.0
Asia,4-13 days,500-1000 GBP,1,0,1.0,7,2,6,Business or Work,0.1,0.05,0.7666666666666667,0.08333333333333333
EU,4-13 days,0-250 GBP,0,0,1.0,2,3,6,VFF,0.0,0.0,0.008333333333333333,0.9916666666666666
UK,4-13 days,,0,0,5.0,5,1,4,VFF,0.05,0.0,0.1,0.85
EU,1-3 days,250-500 GBP,1,0,1.0,4,7,6,Holiday,0.0,0.0,1.0,0.0
North America,,250-500 GBP,0,0,1.0,6,3,3,VFF,0.36666666666666664,0.05,0.25,0.33333333333333337
North America,,0-250 GBP,1,1,1.0,8,6,6,Holiday,0.3,0.0,0.6,0.1
North America,4-13 days,0-250 GBP,0,0,1.0,7,1,3,VFF,0.25,0.0,0.075,0.675
EU,4-13 days,0-250 GBP,0,0,1.0,2,1,5,VFF,0.15872113997113996,0.0,0.169491341991342,0.6717875180375181
North America,4-13 days,250-500 GBP,0,0,1.0,4,7,1,Holiday,0.0,0.0,0.13333333333333333,0.8666666666666668
EU,1-3 days,0-250 GBP,1,0,1.0,4,1,6,Business or Work,0.0,0.0,1.0,0.0
EU,1-3 days,0-250 GBP,1,0,1.0,4,4,2,Business or Work,0.2684740259740259,0.0,0.7315259740259741,0.0
EU,1-3 days,250-500 GBP,1,0,1.0,2,2,1,Holiday,0.0,0.0,1.0,0.0
"Australia, NZ and Oceania",14-27 days,1000-5000 GBP,0,0,1.0,4,4,3,VFF,0.06,0.0,0.325,0.615
Asia,4-13 days,1000-5000 GBP,1,1,1.0,5,1,1,Holiday,0.4,0.0,0.6,0.0
EU,,0-250 GBP,0,0,5.0,7,4,4,Business or Work,0.9508333333333333,0.0,0.024166666666666666,0.025
EU,14-27 days,1000-5000 GBP,0,0,1.0,3,1,3,Education and Other,0.05,0.75,0.15,0.05
Non-EU Europe,,0-250 GBP,1,1,1.0,7,3,3,Business or Work,0.8,0.0,0.2,0.0
UK,1-3 days,1000-5000 GBP,1,0,5.0,6,6,4,VFF,0.47000000000000003,0.0,0.37,0.16
EU,4-13 days,250-500 GBP,1,0,1.0,7,3,6,VFF,0.0,0.025,0.6708333333333333,0.30416666666666664
EU,1-3 days,0-250 GBP,0,0,5.0,3,3,1,Holiday,0.025,0.0,0.775,0.2
Asia,4-13 days,1000-5000 GBP,2,1,1.0,4,2,5,Holiday,0.0,0.0,0.9125,0.0875
North America,4-13 days,250-500 GBP,2,0,1.0,2,3,5,VFF,0.05,0.0,0.55,0.4
Asia,4-13 days,0-250 GBP,0,0,1.0,4,5,6,Business or Work,0.05,0.0,0.025,0.925
EU,14-27 days,1000-5000 GBP,0,0,5.0,8,4,2,Holiday,0.0,0.0,0.95,0.05
Asia,4-13 days,1000-5000 GBP,2,0,1.0,4,7,3,Business or Work,0.2,0.25,0.4,0.15
EU,,0-250 GBP,0,0,1.0,6,6,6,Business or Work,0.5631060606060606,0.0,0.2868939393939395,0.15
